ID;Rodzic;Poziom;Typ;Nazwa;Środki europejskie
0032-0005;0032;b;FUNKCJA 15;POLITYKA ZAGRANICZNA;0
0032-0005-0001;0032-0005;c;Zadanie 15.1;Zapewnianie Polsce sprzyjających warunków rozwoju;0
0032-0005-0001-0001;0032-0005-0001;d;Podzadanie 15.1.1;Rozwijanie stosunków dwustronnych i wielostronnych;0
0032-0005-0001-0001-0001;0032-0005-0001-0001;e;Część 22;GOSPODARKA  WODNA;0
0032-0005-0001-0001-0002;0032-0005-0001-0001;e;Część 41;ŚRODOWISKO;0
0032-0005-0001-0002;0032-0005-0001;d;Podzadanie 15.1.2;Udział Polski we współpracy na forum organizacji międzynarodowych;0
0032-0005-0001-0002-0001;0032-0005-0001-0002;e;Część 22;GOSPODARKA  WODNA;0
0032-0005-0001-0002-0002;0032-0005-0001-0002;e;Część 41;ŚRODOWISKO;0
0032-0005-0002;0032-0005;c;Zadanie 15.5;Kształtowanie i koordynacja polityki zagranicznej;0
0032-0005-0002-0001;0032-0005-0002;d;Podzadanie 15.5.4;Przygotowanie, sprawowanie i obsługa Prezydencji RP w Radzie Unii Europejskiej;0
0032-0005-0002-0001-0001;0032-0005-0002-0001;e;Część 22;GOSPODARKA  WODNA;0
0032-0005-0002-0001-0002;0032-0005-0002-0001;e;Część 41;ŚRODOWISKO;0
0032-0006;0032;b;FUNKCJA 16;SPRAWY OBYWATELSKIE;0
0032-0006-0001;0032-0006;c;Zadanie 16.8;Budowa społeczeństwa obywatelskiego;0
0032-0006-0001-0001;0032-0006-0001;d;Podzadanie 16.8.3;Nadzór i kontrola nad organizacjami pożytku publicznego oraz fundacjami, dla których ministrem właściwym jest Minister Pracy i Polityki Społecznej;0
0032-0006-0001-0001-0001;0032-0006-0001-0001;e;Część 41;ŚRODOWISKO;0
0032-0007;0032;b;FUNKCJA 17;RÓWNOMIERNY ROZWÓJ KRAJU;0
0032-0007-0001;0032-0007;c;Zadanie 17.3;Koordynacja realizacji NSRO 2007-2013 oraz zarządzanie i wdrażanie programów operacyjnych;0
0032-0007-0001-0001;0032-0007-0001;d;Podzadanie 17.3.1;Koordynacja NSRO 2007-2013 i zarządzanie realizacją PO Pomoc Techniczna;0
0032-0007-0001-0001-0001;0032-0007-0001-0001;e;Część 41;ŚRODOWISKO;0
0032-0007-0001-0002;0032-0007-0001;d;Podzadanie 17.3.9;Wdrażanie PO Innowacyjna Gospodarka;0
0032-0007-0001-0002-0001;0032-0007-0001-0002;e;Część 41;ŚRODOWISKO;0
0032-0007-0002;0032-0007;c;Zadanie 17.4;Zarządzanie realizacją pozostałych programów finansowanych z udziałem niepodlegających zwrotowi środków pomocowych;0
0032-0007-0002-0001;0032-0007-0002;d;Podzadanie 17.4.1;Zarządzanie realizacją zadań w ramach Mechanizmu Finansowego EOG oraz Norweskiego Mechanizmu Finansowego;0
0032-0007-0002-0001-0001;0032-0007-0002-0001;e;Część 41;ŚRODOWISKO;0
0032-0007-0002-0002;0032-0007-0002;d;Podzadanie 17.4.2;Zarządzanie realizacją zadań w ramach Szwajcarsko-Polskiego Programu Współpracy (SPPW);0
0032-0007-0002-0002-0001;0032-0007-0002-0002;e;Część 41;ŚRODOWISKO;0
0032-0008;0032;b;FUNKCJA 19;INFRASTRUKTURA TRANSPORTOWA;0
0032-0008-0001;0032-0008;c;Zadanie 19.3;Wspieranie transportu morskiego i żeglugi śródlądowej;0
0032-0008-0001-0001;0032-0008-0001;d;Podzadanie 19.3.2;Wspieranie infrastruktury morskiej i żeglugi śródlądowej;0
0032-0008-0001-0001-0001;0032-0008-0001-0001;e;Część 41;ŚRODOWISKO;0
0032-0009;0032;b;FUNKCJA 22;PLANOWANIE STRATEGICZNE ORAZ OBSŁUGA ADMINISTRACYJNA I TECHNICZNA;0
0032-0009-0001;0032-0009;c;Zadanie 22.1;Koordynacja merytoryczna działalności, planowania strategicznego i operacyjnego;0
0032-0009-0001-0002;0032-0009-0001;d;Część 22;GOSPODARKA  WODNA;0
0032-0009-0001-0003;0032-0009-0001;d;Część 41;ŚRODOWISKO;0
0032-0009-0002;0032-0009;c;Zadanie 22.2;Obsługa administracyjna;0
0032-0009-0002-0004;0032-0009-0002;d;Część 22;GOSPODARKA  WODNA;0
0032-0009-0002-0005;0032-0009-0002;d;Część 41;ŚRODOWISKO;0
0032-0009-0003;0032-0009;c;Zadanie 22.3;Obsługa techniczna;0
0032-0009-0003-0006;0032-0009-0003;d;Część 22;GOSPODARKA  WODNA;0
0032-0009-0003-0007;0032-0009-0003;d;Część 41;ŚRODOWISKO;0
0033;;a;Dysponent;Ministerstwo Zdrowia;338948
0033-0001;0033;b;FUNKCJA 3;EDUKACJA, WYCHOWANIE I OPIEKA;29520
0033-0001-0001;0033-0001;c;Zadanie 3.1;Edukacja i wychowanie;0
0033-0001-0001-0001;0033-0001-0001;d;Podzadanie 3.1.4;Egzaminy zewnętrzne;0
0033-0001-0001-0001-0001;0033-0001-0001-0001;e;Część 46;ZDROWIE;0
0033-0001-0002;0033-0001;c;Zadanie 3.2;Szkolnictwo wyższe;29520
0033-0001-0002-0001;0033-0001-0002;d;Podzadanie 3.2.1;Zarządzanie systemem szkolnictwa wyższego;0
0033-0001-0002-0001-0001;0033-0001-0002-0001;e;Część 46;ZDROWIE;0
0033-0001-0002-0002;0033-0001-0002;d;Podzadanie 3.2.2;Kształcenie w szkolnictwie wyższym akademickim;29520
0033-0001-0002-0002-0001;0033-0001-0002-0002;e;Część 46;ZDROWIE;29520
0033-0001-0002-0003;0033-0001-0002;d;Podzadanie 3.2.3;Kształcenie w szkolnictwie wyższym zawodowym;0
0033-0001-0002-0003-0001;0033-0001-0002-0003;e;Część 46;ZDROWIE;0
0033-0001-0002-0004;0033-0001-0002;d;Podzadanie 3.2.4;Wsparcie procesu studiowania;0
0033-0001-0002-0004-0001;0033-0001-0002-0004;e;Część 46;ZDROWIE;0
0033-0002;0033;b;FUNKCJA 6;POLITYKA GOSPODARCZA KRAJU;0
0033-0002-0001;0033-0002;c;Zadanie 6.10;Statystyka publiczna;0
0033-0002-0001-0001;0033-0002-0001;d;Podzadanie 6.10.1;Organizowanie i prowadzenie badań statystycznych;0
0033-0002-0001-0001-0001;0033-0002-0001-0001;e;Część 46;ZDROWIE;0
0033-0003;0033;b;FUNKCJA 9;KULTURA I DZIEDZICTWO NARODOWE;0
0033-0003-0001;0033-0003;c;Zadanie 9.2;Ochrona dziedzictwa narodowego;0
0033-0003-0001-0001;0033-0003-0001;d;Podzadanie 9.2.5;Utrzymywanie i powiększanie zasobów archiwalnych i filmowych;0
0033-0003-0001-0001-0001;0033-0003-0001-0001;e;Część 46;ZDROWIE;0
0033-0004;0033;b;FUNKCJA 10;NAUKA POLSKA;0
0033-0004-0001;0033-0004;c;Zadanie 10.2;Wzmocnienie badań naukowych służących praktycznym zastosowaniom;0
0033-0004-0001-0001;0033-0004-0001;d;Podzadanie 10.2.1;Wsparcie badań stosowanych i prac rozwojowych;0
0033-0004-0001-0001-0001;0033-0004-0001-0001;e;Część 46;ZDROWIE;0
0033-0005;0033;b;FUNKCJA 11;BEZPIECZEŃSTWO ZEWNĘTRZNE I NIENARUSZALNOŚĆ GRANIC;0
0033-0005-0001;0033-0005;c;Zadanie 11.5;Gotowość struktur administracyjno-gospodarczych kraju do obrony państwa;0
0033-0005-0001-0001;0033-0005-0001;d;Podzadanie 11.5.2;Pozamilitarne przygotowania obronne;0
0033-0005-0001-0001-0001;0033-0005-0001-0001;e;Część 46;ZDROWIE;0
0033-0006;0033;b;FUNKCJA 15;POLITYKA ZAGRANICZNA;0
0033-0006-0001;0033-0006;c;Zadanie 15.1;Zapewnianie Polsce sprzyjających warunków rozwoju;0
0033-0006-0001-0001;0033-0006-0001;d;Podzadanie 15.1.2;Udział Polski we współpracy na forum organizacji międzynarodowych;0
0033-0006-0001-0001-0001;0033-0006-0001-0001;e;Część 46;ZDROWIE;0
0033-0006-0002;0033-0006;c;Zadanie 15.5;Kształtowanie i koordynacja polityki zagranicznej;0
0033-0006-0002-0001;0033-0006-0002;d;Podzadanie 15.5.4;Przygotowanie, sprawowanie i obsługa Prezydencji RP w Radzie Unii Europejskiej;0
0033-0006-0002-0001-0001;0033-0006-0002-0001;e;Część 46;ZDROWIE;0
0033-0007;0033;b;FUNKCJA 16;SPRAWY OBYWATELSKIE;81780
0033-0007-0001;0033-0007;c;Zadanie 16.8;Budowa społeczeństwa obywatelskiego;81780
0033-0007-0001-0001;0033-0007-0001;d;Podzadanie 16.8.3;Nadzór i kontrola nad organizacjami pożytku publicznego oraz fundacjami, dla których ministrem właściwym jest Minister Pracy i Polityki Społecznej;81780
0033-0007-0001-0001-0001;0033-0007-0001-0001;e;Część 46;ZDROWIE;81780
0033-0008;0033;b;FUNKCJA 17;RÓWNOMIERNY ROZWÓJ KRAJU;0
0033-0008-0001;0033-0008;c;Zadanie 17.3;Koordynacja realizacji NSRO 2007-2013 oraz zarządzanie i wdrażanie programów operacyjnych;0
0033-0008-0001-0001;0033-0008-0001;d;Podzadanie 17.3.7;Rozliczanie środków pochodzących z UE w ramach NSRO;0
0033-0008-0001-0001-0001;0033-0008-0001-0001;e;Część 46;ZDROWIE;0
0033-0008-0001-0002;0033-0008-0001;d;Podzadanie 17.3.9;Wdrażanie PO Innowacyjna Gospodarka;0
0033-0008-0001-0002-0001;0033-0008-0001-0002;e;Część 46;ZDROWIE;0
0033-0008-0001-0003;0033-0008-0001;d;Podzadanie 17.3.10;Wdrażanie PO Infrastruktura i Środowisko;0
0033-0008-0001-0003-0001;0033-0008-0001-0003;e;Część 46;ZDROWIE;0
0033-0008-0002;0033-0008;c;Zadanie 17.4;Zarządzanie realizacją pozostałych programów finansowanych z udziałem niepodlegających zwrotowi środków pomocowych;0
0033-0008-0002-0001;0033-0008-0002;d;Podzadanie 17.4.1;Zarządzanie realizacją zadań w ramach Mechanizmu Finansowego EOG oraz Norweskiego Mechanizmu Finansowego;0
0033-0008-0002-0001-0001;0033-0008-0002-0001;e;Część 46;ZDROWIE;0
0033-0008-0002-0002;0033-0008-0002;d;Podzadanie 17.4.2;Zarządzanie realizacją zadań w ramach Szwajcarsko-Polskiego Programu Współpracy (SPPW);0
0033-0008-0002-0002-0001;0033-0008-0002-0002;e;Część 46;ZDROWIE;0
0033-0008-0002-0003;0033-0008-0002;d;Podzadanie 17.4.3;Wdrażanie projektów w ramach Mechanizmu Finansowego EOG oraz Norweskiego Mechanizmu Finansowego;0
0033-0008-0002-0003-0001;0033-0008-0002-0003;e;Część 46;ZDROWIE;0
0033-0009;0033;b;FUNKCJA 20;ZDROWIE;227648
0033-0009-0001;0033-0009;c;Zadanie 20.1;Zapewnianie dostępu do świadczeń opieki zdrowotnej;1242
0033-0009-0001-0001;0033-0009-0001;d;Podzadanie 20.1.1;Organizacja oraz nadzór nad systemem opieki zdrowotnej;1242
0033-0009-0001-0001-0001;0033-0009-0001-0001;e;Część 46;ZDROWIE;1242
0033-0009-0001-0002;0033-0009-0001;d;Podzadanie 20.1.2;Realizacja programów polityki zdrowotnej ważnych dla zdrowia społeczeństwa;0
0033-0009-0001-0002-0001;0033-0009-0001-0002;e;Część 46;ZDROWIE;0
0033-0009-0001-0003;0033-0009-0001;d;Podzadanie 20.1.3;Świadczenia zdrowotne w zakresie lecznictwa;0
0033-0009-0001-0003-0001;0033-0009-0001-0003;e;Część 46;ZDROWIE;0
0033-0009-0001-0004;0033-0009-0001;d;Podzadanie 20.1.4;Świadczenia wysokospecjalistyczne finansowane z budżetu państwa;0
0033-0009-0001-0004-0001;0033-0009-0001-0004;e;Część 46;ZDROWIE;0
0033-0009-0001-0005;0033-0009-0001;d;Podzadanie 20.1.5;Zapewnianie funkcjonowania publicznej służby krwi;0
0033-0009-0001-0005-0001;0033-0009-0001-0005;e;Część 46;ZDROWIE;0
0033-0009-0002;0033-0009;c;Zadanie 20.2;Ratownictwo medyczne;124489
0033-0009-0002-0001;0033-0009-0002;d;Podzadanie 20.2.1;Zapewnianie prawidłowej działalności lotniczych zespołów ratownictwa medycznego;17196
0033-0009-0002-0001-0001;0033-0009-0002-0001;e;Część 46;ZDROWIE;17196
0033-0009-0002-0002;0033-0009-0002;d;Podzadanie 20.2.2;Zapewnianie prawidłowej działalności szpitalnych oddziałów ratunkowych, centrów urazowych oraz zespołów ratownictwa medycznego, z wyłączeniem lotniczych zespołów ratownictwa medycznego;107293
0033-0009-0002-0002-0001;0033-0009-0002-0002;e;Część 46;ZDROWIE;107293
0033-0009-0003;0033-0009;c;Zadanie 20.3;Realizacja polityki lekowej państwa;0
0033-0009-0003-0001;0033-0009-0003;d;Podzadanie 20.3.1;Zapewnianie możliwości rejestracji produktów leczniczych, wyrobów medycznych i produktów biobójczych;0
0033-0009-0003-0001-0001;0033-0009-0003-0001;e;Część 46;ZDROWIE;0
0033-0009-0003-0002;0033-0009-0003;d;Podzadanie 20.3.2;Zapewnianie nadzoru nad jakością i obrotem produktami leczniczymi, wyrobami medycznymi i produktami biobójczymi;0
0033-0009-0003-0002-0001;0033-0009-0003-0002;e;Część 46;ZDROWIE;0
0033-0009-0003-0003;0033-0009-0003;d;Podzadanie 20.3.3;Zapewnianie dostępu do leków i wyrobów medycznych poprzez umożliwienie refundacji leków i wyrobów medycznych najistotniejszych dla zdrowia społeczeństwa;0
0033-0009-0003-0003-0001;0033-0009-0003-0003;e;Część 46;ZDROWIE;0
0033-0009-0003-0004;0033-0009-0003;d;Podzadanie 20.3.4;Dostęp do leków i wyrobów medycznych;0
0033-0009-0003-0004-0001;0033-0009-0003-0004;e;Część 46;ZDROWIE;0
0033-0009-0004;0033-0009;c;Zadanie 20.4;Wspieranie rozwoju i restrukturyzacji systemu ochrony zdrowia;86040
0033-0009-0004-0001;0033-0009-0004;d;Podzadanie 20.4.1;Inwestycje w infrastrukturę w ochronie zdrowia;84216
0033-0009-0004-0001-0001;0033-0009-0004-0001;e;Część 46;ZDROWIE;84216
0033-0009-0004-0002;0033-0009-0004;d;Podzadanie 20.4.2;Wspieranie restrukturyzacji systemu ochrony zdrowia;1824
0033-0009-0004-0002-0001;0033-0009-0004-0002;e;Część 46;ZDROWIE;1824
0033-0009-0005;0033-0009;c;Zadanie 20.5;Nadzór sanitarno-epidemiologiczny, profilaktyka i promocja zdrowia;15877
0033-0009-0005-0001;0033-0009-0005;d;Podzadanie 20.5.1;Profilaktyka zdrowotna;15877
0033-0009-0005-0001-0001;0033-0009-0005-0001;e;Część 46;ZDROWIE;15877
0033-0009-0005-0002;0033-0009-0005;d;Podzadanie 20.5.2;Działalność kontrolno-inspekcyjna;0
0033-0009-0005-0002-0001;0033-0009-0005-0002;e;Część 46;ZDROWIE;0
0033-0009-0005-0003;0033-0009-0005;d;Podzadanie 20.5.3;Nadzór sanitarny;0
0033-0009-0005-0003-0001;0033-0009-0005-0003;e;Część 46;ZDROWIE;0
0033-0009-0005-0004;0033-0009-0005;d;Podzadanie 20.5.4;Zapobieganie i zwalczanie chorób zakaźnych;0
0033-0009-0005-0004-0001;0033-0009-0005-0004;e;Część 46;ZDROWIE;0
0033-0009-0005-0005;0033-0009-0005;d;Podzadanie 20.5.5;Zakup szczepionek zgodnie z kalendarzem obowiązkowych szczepień ochronnych;0
0033-0009-0005-0005-0001;0033-0009-0005-0005;e;Część 46;ZDROWIE;0
0033-0009-0005-0006;0033-0009-0005;d;Podzadanie 20.5.6;Ochrona zdrowia przed szkodliwym wpływem czynników środowiskowych;0
0033-0009-0005-0006-0001;0033-0009-0005-0006;e;Część 46;ZDROWIE;0
0033-0010;0033;b;FUNKCJA 22;PLANOWANIE STRATEGICZNE ORAZ OBSŁUGA ADMINISTRACYJNA I TECHNICZNA;0
0033-0010-0001;0033-0010;c;Zadanie 22.1;Koordynacja merytoryczna działalności, planowania strategicznego i operacyjnego;0
0033-0010-0001-0002;0033-0010-0001;d;Część 46;ZDROWIE;0
0033-0010-0002;0033-0010;c;Zadanie 22.2;Obsługa administracyjna;0
0033-0010-0002-0003;0033-0010-0002;d;Część 46;ZDROWIE;0
0033-0010-0003;0033-0010;c;Zadanie 22.3;Obsługa techniczna;0
0033-0010-0003-0004;0033-0010-0003;d;Część 46;ZDROWIE;0
0034;;a;Dysponent;Naczelny Sąd Administracyjny;0
0034-0001;0034;b;FUNKCJA 13;ZABEZPIECZENIE SPOŁECZNE I WSPIERANIE RODZINY;0
0034-0001-0001;0034-0001;c;Zadanie 13.3;Ubezpieczenia społeczne;0
0034-0001-0001-0001;0034-0001-0001;d;Podzadanie 13.3.4;Prewencja i rehabilitacja;0
0034-0001-0001-0001-0001;0034-0001-0001-0001;e;Część 05;NACZELNY SĄD ADMINISTRACYJNY;0
0034-0002;0034;b;FUNKCJA 18;SPRAWIEDLIWOŚĆ;0
0034-0002-0001;0034-0002;c;Zadanie 18.2;Sprawowanie wymiaru sprawiedliwości przez sądownictwo administracyjne;0
0034-0002-0001-0001;0034-0002-0001;d;Podzadanie 18.2.1;Działalność orzecznicza;0
0034-0002-0001-0001-0001;0034-0002-0001-0001;e;Część 05;NACZELNY SĄD ADMINISTRACYJNY;0
0034-0002-0001-0002;0034-0002-0001;d;Podzadanie 18.2.2;Nadzór administracyjny nad działalnością sądów;0
0034-0002-0001-0002-0001;0034-0002-0001-0002;e;Część 05;NACZELNY SĄD ADMINISTRACYJNY;0
0034-0002-0001-0003;0034-0002-0001;d;Podzadanie 18.2.3;Działania na rzecz podnoszenia jakości orzecznictwa;0
0034-0002-0001-0003-0001;0034-0002-0001-0003;e;Część 05;NACZELNY SĄD ADMINISTRACYJNY;0
0035;;a;Dysponent;Najwyższa Izba Kontroli;0
0035-0001;0035;b;FUNKCJA 1;ZARZĄDZANIE PAŃSTWEM;0
0035-0001-0001;0035-0001;c;Zadanie 1.7;Ocena działalności organów administracji publicznej, Narodowego Banku Polskiego oraz jednostek organizacyjnych wydatkujących środki publiczne z punktu widzenia ustawowych kryteriów NIK;0
0035-0001-0001-0001;0035-0001-0001;d;Podzadanie 1.7.1;Przygotowanie i wykonanie kontroli oraz upublicznienie ich wyników;0
0035-0001-0001-0001-0001;0035-0001-0001-0001;e;Część 07;NAJWYŻSZA IZBA KONTROLI;0
0035-0001-0001-0002;0035-0001-0001;d;Podzadanie 1.7.2;Przygotowanie analizy wykonania budżetu państwa i założeń polityki pieniężnej oraz innych opracowań sektorowych;0
0035-0001-0001-0002-0001;0035-0001-0001-0002;e;Część 07;NAJWYŻSZA IZBA KONTROLI;0
0035-0001-0001-0003;0035-0001-0001;d;Podzadanie 1.7.3;Wykonywanie nie kontrolnych funkcji naczelnego organu kontroli państwowej;0
0035-0001-0001-0003-0001;0035-0001-0001-0003;e;Część 07;NAJWYŻSZA IZBA KONTROLI;0
0035-0002;0035;b;FUNKCJA 22;PLANOWANIE STRATEGICZNE ORAZ OBSŁUGA ADMINISTRACYJNA I TECHNICZNA;0
0035-0002-0001;0035-0002;c;Zadanie 22.1;Koordynacja merytoryczna działalności, planowania strategicznego i operacyjnego;0
0035-0002-0001-0002;0035-0002-0001;d;Część 07;NAJWYŻSZA IZBA KONTROLI;0
0035-0002-0002;0035-0002;c;Zadanie 22.2;Obsługa administracyjna;0
0035-0002-0002-0003;0035-0002-0002;d;Część 07;NAJWYŻSZA IZBA KONTROLI;0
0035-0002-0003;0035-0002;c;Zadanie 22.3;Obsługa techniczna;0
0035-0002-0003-0004;0035-0002-0003;d;Część 07;NAJWYŻSZA IZBA KONTROLI;0
0036;;a;Dysponent;Państwowa Agencja Atomistyki;0
0036-0001;0036;b;FUNKCJA 6;POLITYKA GOSPODARCZA KRAJU;0
0036-0001-0001;0036-0001;c;Zadanie 6.11;Nadzór nad bezpieczeństwem jądrowym i ochroną radiologiczną;0
0036-0001-0001-0001;0036-0001-0001;d;Podzadanie 6.11.1;Nadzór nad spełnieniem warunków bezpieczeństwa jądrowego i ochrony radiologicznej w działalnościach związanych z pokojowym wykorzystaniem energii atomowej;0
0036-0001-0001-0001-0001;0036-0001-0001-0001;e;Część 68;PAŃSTWOWA AGENCJA ATOMISTYKI;0
0036-0001-0001-0002;0036-0001-0001;d;Podzadanie 6.11.2;Ocena sytuacji radiacyjnej kraju;0
0036-0001-0001-0002-0001;0036-0001-0001-0002;e;Część 68;PAŃSTWOWA AGENCJA ATOMISTYKI;0
0036-0001-0001-0003;0036-0001-0001;d;Podzadanie 6.11.3;Wypełnianie zobowiązań międzynarodowych Polski;0
0036-0001-0001-0003-0001;0036-0001-0001-0003;e;Część 68;PAŃSTWOWA AGENCJA ATOMISTYKI;0
0036-0002;0036;b;FUNKCJA 11;BEZPIECZEŃSTWO ZEWNĘTRZNE I NIENARUSZALNOŚĆ GRANIC;0
0036-0002-0001;0036-0002;c;Zadanie 11.5;Gotowość struktur administracyjno-gospodarczych kraju do obrony państwa;0
0036-0002-0001-0001;0036-0002-0001;d;Podzadanie 11.5.2;Pozamilitarne przygotowania obronne;0
0036-0002-0001-0001-0001;0036-0002-0001-0001;e;Część 68;PAŃSTWOWA AGENCJA ATOMISTYKI;0
0036-0003;0036;b;FUNKCJA 15;POLITYKA ZAGRANICZNA;0
0036-0003-0001;0036-0003;c;Zadanie 15.5;Kształtowanie i koordynacja polityki zagranicznej;0
0036-0003-0001-0001;0036-0003-0001;d;Podzadanie 15.5.4;Przygotowanie, sprawowanie i obsługa Prezydencji RP w Radzie Unii Europejskiej;0
0036-0003-0001-0001-0001;0036-0003-0001-0001;e;Część 68;PAŃSTWOWA AGENCJA ATOMISTYKI;0
0036-0004;0036;b;FUNKCJA 22;PLANOWANIE STRATEGICZNE ORAZ OBSŁUGA ADMINISTRACYJNA I TECHNICZNA;0
0036-0004-0001;0036-0004;c;Zadanie 22.1;Koordynacja merytoryczna działalności, planowania strategicznego i operacyjnego;0
0036-0004-0001-0002;0036-0004-0001;d;Część 68;PAŃSTWOWA AGENCJA ATOMISTYKI;0
0036-0004-0002;0036-0004;c;Zadanie 22.2;Obsługa administracyjna;0
0036-0004-0002-0003;0036-0004-0002;d;Część 68;PAŃSTWOWA AGENCJA ATOMISTYKI;0
0036-0004-0003;0036-0004;c;Zadanie 22.3;Obsługa techniczna;0
0036-0004-0003-0004;0036-0004-0003;d;Część 68;PAŃSTWOWA AGENCJA ATOMISTYKI;0
0037;;a;Dysponent;Państwowa Inspekcja Pracy;802
0037-0001;0037;b;FUNKCJA 14;RYNEK PRACY;0
0037-0001-0001;0037-0001;c;Zadanie 14.2;Budowa nowoczesnych stosunków pracy;0
0037-0001-0001-0001;0037-0001-0001;d;Podzadanie 14.2.2;Nadzór i kontrola;0
0037-0001-0001-0001-0001;0037-0001-0001-0001;e;Część 12;PAŃSTWOWA INSPEKCJA PRACY;0
0037-0001-0001-0002;0037-0001-0001;d;Podzadanie 14.2.3;Bezpieczeństwo i higiena pracy;0
0037-0001-0001-0002-0001;0037-0001-0001-0002;e;Część 12;PAŃSTWOWA INSPEKCJA PRACY;0
0037-0002;0037;b;FUNKCJA 22;PLANOWANIE STRATEGICZNE ORAZ OBSŁUGA ADMINISTRACYJNA I TECHNICZNA;802
0037-0002-0001;0037-0002;c;Zadanie 22.1;Koordynacja merytoryczna działalności, planowania strategicznego i operacyjnego;0
0037-0002-0001-0002;0037-0002-0001;d;Część 12;PAŃSTWOWA INSPEKCJA PRACY;0
0037-0002-0002;0037-0002;c;Zadanie 22.2;Obsługa administracyjna;802
0037-0002-0002-0003;0037-0002-0002;d;Część 12;PAŃSTWOWA INSPEKCJA PRACY;802
0037-0002-0003;0037-0002;c;Zadanie 22.3;Obsługa techniczna;0
0037-0002-0003-0004;0037-0002-0003;d;Część 12;PAŃSTWOWA INSPEKCJA PRACY;0
0038;;a;Dysponent;Polski Komitet Normalizacyjny;0
0038-0001;0038;b;FUNKCJA 6;POLITYKA GOSPODARCZA KRAJU;0
0038-0001-0001;0038-0001;c;Zadanie 6.7;Organizacja i promocja działalności normalizacyjnej;0
0038-0001-0001-0001;0038-0001-0001;d;Podzadanie 6.7.1;Organizowanie działalności normalizacyjnej łącznie z realizacją zadań wynikających z członkostwa w Unii Europejskiej;0
0038-0001-0001-0001-0001;0038-0001-0001-0001;e;Część 65;POLSKI KOMITET NORMALIZACYJNY;0
0038-0001-0001-0002;0038-0001-0001;d;Podzadanie 6.7.2;Propagowanie informacji normalizacyjnej;0
0038-0001-0001-0002-0001;0038-0001-0001-0002;e;Część 65;POLSKI KOMITET NORMALIZACYJNY;0
0038-0002;0038;b;FUNKCJA 22;PLANOWANIE STRATEGICZNE ORAZ OBSŁUGA ADMINISTRACYJNA I TECHNICZNA;0
0038-0002-0001;0038-0002;c;Zadanie 22.1;Koordynacja merytoryczna działalności, planowania strategicznego i operacyjnego;0
0038-0002-0001-0002;0038-0002-0001;d;Część 65;POLSKI KOMITET NORMALIZACYJNY;0
0038-0002-0002;0038-0002;c;Zadanie 22.2;Obsługa administracyjna;0
0038-0002-0002-0003;0038-0002-0002;d;Część 65;POLSKI KOMITET NORMALIZACYJNY;0
0038-0002-0003;0038-0002;c;Zadanie 22.3;Obsługa techniczna;0
0038-0002-0003-0004;0038-0002-0003;d;Część 65;POLSKI KOMITET NORMALIZACYJNY;0
0039;;a;Dysponent;Prokuratoria Generalna Skarbu Państwa;0
0039-0001;0039;b;FUNKCJA 5;OCHRONA PRAW I INTERESÓW SKARBU PAŃSTWA;0
0039-0001-0001;0039-0001;c;Zadanie 5.3;Zastępstwo procesowe oraz działalność opiniodawcza i legislacyjna;0
0039-0001-0001-0001;0039-0001-0001;d;Podzadanie 5.3.1;Wykonywanie zastępstwa procesowego;0
0039-0001-0001-0001-0001;0039-0001-0001-0001;e;Część 74;PROKURATORIA  GENERALNA SKARBU PAŃSTWA;0
0040;;a;Dysponent;Prokuratura Generalna;0
0040-0001;0040;b;FUNKCJA 2;BEZPIECZEŃSTWO WEWNĘTRZNE I PORZĄDEK PUBLICZNY;0
0040-0001-0001;0040-0001;c;Zadanie 2.3;Strzeżenie praworządności i czuwanie nad ściganiem przestępstw przez prokuraturę;0
0040-0001-0001-0001;0040-0001-0001;d;Podzadanie 2.3.1;Przygotowanie postępowania przygotowawczego i procesowego;0
0040-0001-0001-0001-0001;0040-0001-0001-0001;e;Część 88;Powszechne jednostki organizacyjne prokuratury;0
0040-0001-0001-0002;0040-0001-0001;d;Podzadanie 2.3.2;Zwalczanie przestępczości zorganizowanej;0
0040-0001-0001-0002-0001;0040-0001-0001-0002;e;Część 88;Powszechne jednostki organizacyjne prokuratury;0
0040-0001-0001-0003;0040-0001-0001;d;Podzadanie 2.3.3;Realizacja zadań Prokuratora Generalnego w postępowaniach przed SN, TK, NSA oraz innych przewidzianych w ustawach;0
0040-0001-0001-0003-0001;0040-0001-0001-0003;e;Część 88;Powszechne jednostki organizacyjne prokuratury;0
0040-0002;0040;b;FUNKCJA 13;ZABEZPIECZENIE SPOŁECZNE I WSPIERANIE RODZINY;0
0040-0002-0001;0040-0002;c;Zadanie 13.3;Ubezpieczenia społeczne;0
0040-0002-0001-0001;0040-0002-0001;d;Podzadanie 13.3.4;Prewencja i rehabilitacja;0
0040-0002-0001-0001-0001;0040-0002-0001-0001;e;Część 88;Powszechne jednostki organizacyjne prokuratury;0
0040-0003;0040;b;FUNKCJA 22;PLANOWANIE STRATEGICZNE ORAZ OBSŁUGA ADMINISTRACYJNA I TECHNICZNA;0
0040-0003-0001;0040-0003;c;Zadanie 22.1;Koordynacja merytoryczna działalności, planowania strategicznego i operacyjnego;0
0040-0003-0001-0002;0040-0003-0001;d;Część 88;Powszechne jednostki organizacyjne prokuratury;0
0040-0003-0002;0040-0003;c;Zadanie 22.2;Obsługa administracyjna;0
0040-0003-0002-0003;0040-0003-0002;d;Część 88;Powszechne jednostki organizacyjne prokuratury;0
