ID;Rodzic;Poziom;Typ;Treść;Budżet Państwa
0031-0002-0001;0031-0002;c;Zadanie 15.1;Zapewnianie Polsce sprzyjających warunków rozwoju;919274
0031-0002-0001-0001;0031-0002-0001;d;Podzadanie 15.1.1;Rozwijanie stosunków dwustronnych i wielostronnych;474383
0031-0002-0001-0001-0001;0031-0002-0001-0001;e;Część 45;SPRAWY ZAGRANICZNE  I CZŁONKOSTWO  RZECZYPOSPOLITEJ POLSKIEJ W UNII EUROPEJSKIEJ;474383
0031-0002-0001-0002;0031-0002-0001;d;Podzadanie 15.1.2;Udział Polski we współpracy na forum organizacji międzynarodowych;444891
0031-0002-0001-0002-0001;0031-0002-0001-0002;e;Część 45;SPRAWY ZAGRANICZNE  I CZŁONKOSTWO  RZECZYPOSPOLITEJ POLSKIEJ W UNII EUROPEJSKIEJ;444891
0031-0002-0002;0031-0002;c;Zadanie 15.2;Zapewnianie bezpieczeństwa państwa;26504
0031-0002-0002-0001;0031-0002-0002;d;Podzadanie 15.2.1;Umacnianie bezpieczeństwa politycznego i wojskowego;15404
0031-0002-0002-0001-0001;0031-0002-0002-0001;e;Część 45;SPRAWY ZAGRANICZNE  I CZŁONKOSTWO  RZECZYPOSPOLITEJ POLSKIEJ W UNII EUROPEJSKIEJ;15404
0031-0002-0002-0002;0031-0002-0002;d;Podzadanie 15.2.2;Umacnianie międzynarodowego bezpieczeństwa i pokoju;2890
0031-0002-0002-0002-0001;0031-0002-0002-0002;e;Część 45;SPRAWY ZAGRANICZNE  I CZŁONKOSTWO  RZECZYPOSPOLITEJ POLSKIEJ W UNII EUROPEJSKIEJ;2890
0031-0002-0002-0003;0031-0002-0002;d;Podzadanie 15.2.3;Umacnianie bezpieczeństwa ekonomicznego i ekologicznego;8210
0031-0002-0002-0003-0001;0031-0002-0002-0003;e;Część 45;SPRAWY ZAGRANICZNE  I CZŁONKOSTWO  RZECZYPOSPOLITEJ POLSKIEJ W UNII EUROPEJSKIEJ;8210
0031-0002-0003;0031-0002;c;Zadanie 15.3;Reprezentowanie i ochrona międzynarodowych interesów RP i jej obywateli za granicą;235855
0031-0002-0003-0001;0031-0002-0003;d;Podzadanie 15.3.1;Wspieranie interesów polskich obywateli i polskich osób prawnych;228766
0031-0002-0003-0001-0001;0031-0002-0003-0001;e;Część 45;SPRAWY ZAGRANICZNE  I CZŁONKOSTWO  RZECZYPOSPOLITEJ POLSKIEJ W UNII EUROPEJSKIEJ;228766
0031-0002-0003-0002;0031-0002-0003;d;Podzadanie 15.3.2;Zapewnianie opieki i obsługi konsularnej;4216
0031-0002-0003-0002-0001;0031-0002-0003-0002;e;Część 45;SPRAWY ZAGRANICZNE  I CZŁONKOSTWO  RZECZYPOSPOLITEJ POLSKIEJ W UNII EUROPEJSKIEJ;4216
0031-0002-0003-0003;0031-0002-0003;d;Podzadanie 15.3.3;Reprezentowanie i ochrona interesów RP przed międzynarodowymi organami sądowymi;2873
0031-0002-0003-0003-0001;0031-0002-0003-0003;e;Część 45;SPRAWY ZAGRANICZNE  I CZŁONKOSTWO  RZECZYPOSPOLITEJ POLSKIEJ W UNII EUROPEJSKIEJ;2873
0031-0002-0004;0031-0002;c;Zadanie 15.4;Kształtowanie międzynarodowego wizerunku RP;197711
0031-0002-0004-0001;0031-0002-0004;d;Podzadanie 15.4.1;Prowadzenie promocji kraju;109215
0031-0002-0004-0001-0001;0031-0002-0004-0001;e;Część 45;SPRAWY ZAGRANICZNE  I CZŁONKOSTWO  RZECZYPOSPOLITEJ POLSKIEJ W UNII EUROPEJSKIEJ;109215
0031-0002-0004-0002;0031-0002-0004;d;Podzadanie 15.4.2;Udział we współpracy rozwojowej i międzynarodowej pomocy humanitarnej;5154
0031-0002-0004-0002-0001;0031-0002-0004-0002;e;Część 45;SPRAWY ZAGRANICZNE  I CZŁONKOSTWO  RZECZYPOSPOLITEJ POLSKIEJ W UNII EUROPEJSKIEJ;5154
0031-0002-0004-0003;0031-0002-0004;d;Podzadanie 15.4.3;Wspieranie rozwoju demokracji, praw człowieka i rządów prawa;1432
0031-0002-0004-0003-0001;0031-0002-0004-0003;e;Część 45;SPRAWY ZAGRANICZNE  I CZŁONKOSTWO  RZECZYPOSPOLITEJ POLSKIEJ W UNII EUROPEJSKIEJ;1432
0031-0002-0004-0004;0031-0002-0004;d;Podzadanie 15.4.4;Zapewnianie obsługi cudzoziemców i zagranicznych osób prawnych;81910
0031-0002-0004-0004-0001;0031-0002-0004-0004;e;Część 45;SPRAWY ZAGRANICZNE  I CZŁONKOSTWO  RZECZYPOSPOLITEJ POLSKIEJ W UNII EUROPEJSKIEJ;81910
0031-0002-0005;0031-0002;c;Zadanie 15.5;Kształtowanie i koordynacja polityki zagranicznej;65363
0031-0002-0005-0001;0031-0002-0005;d;Podzadanie 15.5.1;Kształtowanie i koordynacja współpracy międzynarodowej organów administracji rządowej w odniesieniu do spraw zagranicznych;4999
0031-0002-0005-0001-0001;0031-0002-0005-0001;e;Część 45;SPRAWY ZAGRANICZNE  I CZŁONKOSTWO  RZECZYPOSPOLITEJ POLSKIEJ W UNII EUROPEJSKIEJ;4999
0031-0002-0005-0002;0031-0002-0005;d;Podzadanie 15.5.2;Kształtowanie i koordynacja współpracy międzynarodowej organów administracji rządowej w odniesieniu do spraw członkowstwa Polski w UE;47475
0031-0002-0005-0002-0001;0031-0002-0005-0002;e;Część 45;SPRAWY ZAGRANICZNE  I CZŁONKOSTWO  RZECZYPOSPOLITEJ POLSKIEJ W UNII EUROPEJSKIEJ;47475
0031-0002-0005-0003;0031-0002-0005;d;Podzadanie 15.5.3;Prowadzenie działalności edukacyjnej i informacyjnej;8703
0031-0002-0005-0003-0001;0031-0002-0005-0003;e;Część 45;SPRAWY ZAGRANICZNE  I CZŁONKOSTWO  RZECZYPOSPOLITEJ POLSKIEJ W UNII EUROPEJSKIEJ;8703
0031-0002-0005-0004;0031-0002-0005;d;Podzadanie 15.5.4;Przygotowanie, sprawowanie i obsługa Prezydencji RP w Radzie Unii Europejskiej;4186
0031-0002-0005-0004-0001;0031-0002-0005-0004;e;Część 45;SPRAWY ZAGRANICZNE  I CZŁONKOSTWO  RZECZYPOSPOLITEJ POLSKIEJ W UNII EUROPEJSKIEJ;4186
0031-0003;0031;b;FUNKCJA 16;SPRAWY OBYWATELSKIE;101098
0031-0003-0001;0031-0003;c;Zadanie 16.4;Wspieranie Polonii i Polaków za granicą;27453
0031-0003-0001-0001;0031-0003-0001;d;Podzadanie 16.4.1;Współpraca i wspieranie Polonii i Polaków za granicą;27453
0031-0003-0001-0001-0001;0031-0003-0001-0001;e;Część 45;SPRAWY ZAGRANICZNE  I CZŁONKOSTWO  RZECZYPOSPOLITEJ POLSKIEJ W UNII EUROPEJSKIEJ;27453
0031-0003-0002;0031-0003;c;Zadanie 16.8;Budowa społeczeństwa obywatelskiego;73645
0031-0003-0002-0001;0031-0003-0002;d;Podzadanie 16.8.1;Tworzenie warunków dla rozwoju podmiotów prowadzących działalność pożytku publicznego, współpracy tych podmiotów z organami administracji publicznej oraz dialogu obywatelskiego;26551
0031-0003-0002-0001-0001;0031-0003-0002-0001;e;Część 45;SPRAWY ZAGRANICZNE  I CZŁONKOSTWO  RZECZYPOSPOLITEJ POLSKIEJ W UNII EUROPEJSKIEJ;26551
0031-0003-0002-0002;0031-0003-0002;d;Podzadanie 16.8.3;Nadzór i kontrola nad organizacjami pożytku publicznego oraz fundacjami, dla których ministrem właściwym jest Minister Pracy i Polityki Społecznej;47094
0031-0003-0002-0002-0001;0031-0003-0002-0002;e;Część 45;SPRAWY ZAGRANICZNE  I CZŁONKOSTWO  RZECZYPOSPOLITEJ POLSKIEJ W UNII EUROPEJSKIEJ;47094
0031-0004;0031;b;FUNKCJA 17;RÓWNOMIERNY ROZWÓJ KRAJU;3013
0031-0004-0001;0031-0004;c;Zadanie 17.4;Zarządzanie realizacją pozostałych programów finansowanych z udziałem niepodlegających zwrotowi środków pomocowych;3013
0031-0004-0001-0001;0031-0004-0001;d;Podzadanie 17.4.1;Zarządzanie realizacją zadań w ramach Mechanizmu Finansowego EOG oraz Norweskiego Mechanizmu Finansowego;1546
0031-0004-0001-0001-0001;0031-0004-0001-0001;e;Część 45;SPRAWY ZAGRANICZNE  I CZŁONKOSTWO  RZECZYPOSPOLITEJ POLSKIEJ W UNII EUROPEJSKIEJ;1546
0031-0004-0001-0002;0031-0004-0001;d;Podzadanie 17.4.6;Wsparcie organizacji pozarządowych w ramach Mechanizów Finansowych oraz SPPW;1467
0031-0004-0001-0002-0001;0031-0004-0001-0002;e;Część 45;SPRAWY ZAGRANICZNE  I CZŁONKOSTWO  RZECZYPOSPOLITEJ POLSKIEJ W UNII EUROPEJSKIEJ;1467
0031-0005;0031;b;FUNKCJA 22;PLANOWANIE STRATEGICZNE ORAZ OBSŁUGA ADMINISTRACYJNA I TECHNICZNA;194478
0031-0005-0001;0031-0005;c;Zadanie 22.1;Koordynacja merytoryczna działalności, planowania strategicznego i operacyjnego;31190
0031-0005-0001-0002;0031-0005-0001;d;Część 45;SPRAWY ZAGRANICZNE  I CZŁONKOSTWO  RZECZYPOSPOLITEJ POLSKIEJ W UNII EUROPEJSKIEJ;31190
0031-0005-0002;0031-0005;c;Zadanie 22.2;Obsługa administracyjna;75769
0031-0005-0002-0003;0031-0005-0002;d;Część 45;SPRAWY ZAGRANICZNE  I CZŁONKOSTWO  RZECZYPOSPOLITEJ POLSKIEJ W UNII EUROPEJSKIEJ;75769
0031-0005-0003;0031-0005;c;Zadanie 22.3;Obsługa techniczna;87519
0031-0005-0003-0004;0031-0005-0003;d;Część 45;SPRAWY ZAGRANICZNE  I CZŁONKOSTWO  RZECZYPOSPOLITEJ POLSKIEJ W UNII EUROPEJSKIEJ;87519
0032;;a;Dysponent;Ministerstwo Środowiska;708026
0032-0001;0032;b;FUNKCJA 2;BEZPIECZEŃSTWO WEWNĘTRZNE I PORZĄDEK PUBLICZNY;81
0032-0001-0001;0032-0001;c;Zadanie 2.5; Zarządzanie kryzysowe i obrona cywilna;81
0032-0001-0001-0001;0032-0001-0001;d;Podzadanie 2.5.1;Koordynacja przedsięwzięć z zakresu zarządzania kryzysowego;81
0032-0001-0001-0001-0001;0032-0001-0001-0001;e;Część 41;ŚRODOWISKO;81
0032-0002;0032;b;FUNKCJA 3;EDUKACJA, WYCHOWANIE I OPIEKA;46155
0032-0002-0001;0032-0002;c;Zadanie 3.1;Edukacja i wychowanie;46155
0032-0002-0001-0001;0032-0002-0001;d;Podzadanie 3.1.2;Kształcenie ogólne, zawodowe i ustawiczne;39049
0032-0002-0001-0001-0001;0032-0002-0001-0001;e;Część 41;ŚRODOWISKO;39049
0032-0002-0001-0002;0032-0002-0001;d;Podzadanie 3.1.3;Kształcenie i doskonalenie nauczycieli oraz kształtowanie ich pragmatyki zawodowej;249
0032-0002-0001-0002-0001;0032-0002-0001-0002;e;Część 41;ŚRODOWISKO;249
0032-0002-0001-0003;0032-0002-0001;d;Podzadanie 3.1.9;Prowadzenie działalności edukacyjnej, badawczej i popularyzatorskiej przez IPN;6857
0032-0002-0001-0003-0001;0032-0002-0001-0003;e;Część 41;ŚRODOWISKO;6857
0032-0003;0032;b;FUNKCJA 11;BEZPIECZEŃSTWO ZEWNĘTRZNE I NIENARUSZALNOŚĆ GRANIC;2969
0032-0003-0001;0032-0003;c;Zadanie 11.5;Gotowość struktur administracyjno-gospodarczych kraju do obrony państwa;2969
0032-0003-0001-0001;0032-0003-0001;d;Podzadanie 11.5.2;Pozamilitarne przygotowania obronne;2969
0032-0003-0001-0001-0001;0032-0003-0001-0001;e;Część 22;GOSPODARKA  WODNA;2533
0032-0003-0001-0001-0002;0032-0003-0001-0001;e;Część 41;ŚRODOWISKO;436
0032-0004;0032;b;FUNKCJA 12;ŚRODOWISKO;453319
0032-0004-0001;0032-0004;c;Zadanie 12.1;Kształtowanie bioróżnorodności;132387
0032-0004-0001-0001;0032-0004-0001;d;Podzadanie 12.1.1;Realizacja sieci Natura 2000;124255
0032-0004-0001-0001-0001;0032-0004-0001-0001;e;Część 41;ŚRODOWISKO;124255
0032-0004-0001-0002;0032-0004-0001;d;Podzadanie 12.1.2;Ochrona przyrody i krajobrazu, w tym parki narodowe;7349
0032-0004-0001-0002-0001;0032-0004-0001-0002;e;Część 41;ŚRODOWISKO;7349
0032-0004-0001-0003;0032-0004-0001;d;Podzadanie 12.1.3;Ochrona i zrównoważony rozwój lasów oraz powiększanie zasobów leśnych;783
0032-0004-0001-0003-0001;0032-0004-0001-0003;e;Część 41;ŚRODOWISKO;783
0032-0004-0002;0032-0004;c;Zadanie 12.2;Kształtowanie jakości powietrza atmosferycznego i przeciwdziałanie zmianom klimatu;3580
0032-0004-0002-0001;0032-0004-0002;d;Podzadanie 12.2.1;Ochrona powietrza przed zanieczyszczeniami oraz działania z zakresu handlu emisjami zanieczyszczeń innych niż gazy cieplarniane;1186
0032-0004-0002-0001-0001;0032-0004-0002-0001;e;Część 41;ŚRODOWISKO;1186
0032-0004-0002-0002;0032-0004-0002;d;Podzadanie 12.2.2;Ograniczenie emisji gazów cieplarnianych oraz działania z zakresu handlu emisjami CO2  i pakietu energetyczno-klimatycznego;2394
0032-0004-0002-0002-0001;0032-0004-0002-0002;e;Część 41;ŚRODOWISKO;2394
0032-0004-0003;0032-0004;c;Zadanie 12.3;Racjonalne gospodarowanie zasobami i strukturami geologicznymi;4194
0032-0004-0003-0001;0032-0004-0003;d;Podzadanie 12.3.1;Gromadzenie i udostępnianie danych geologicznych oraz prowadzenie rejestru obszarów górniczych;2473
0032-0004-0003-0001-0001;0032-0004-0003-0001;e;Część 41;ŚRODOWISKO;2473
0032-0004-0003-0002;0032-0004-0003;d;Podzadanie 12.3.2;Badania geologiczne, gospodarowanie zasobami złóż kopalin oraz ustalanie dyspozycyjnych zasobów wód podziemnych;1721
0032-0004-0003-0002-0001;0032-0004-0003-0002;e;Część 41;ŚRODOWISKO;1721
0032-0004-0004;0032-0004;c;Zadanie 12.4;Gospodarka odpadami;2083
0032-0004-0004-0001;0032-0004-0004;d;Podzadanie 12.4.1;Kształtowanie i realizacja polityki państwa w zakresie gospodarki odpadami;1638
0032-0004-0004-0001-0001;0032-0004-0004-0001;e;Część 41;ŚRODOWISKO;1638
0032-0004-0004-0002;0032-0004-0004;d;Podzadanie 12.4.2;Ograniczanie wpływu odpadów na środowisko;445
0032-0004-0004-0002-0001;0032-0004-0004-0002;e;Część 41;ŚRODOWISKO;445
0032-0004-0005;0032-0004;c;Zadanie 12.5;Gospodarowanie zasobami wodnymi;256846
0032-0004-0005-0001;0032-0004-0005;d;Podzadanie 12.5.1;Kształtowanie, ochrona i wykorzystanie zasobów wodnych;17559
0032-0004-0005-0001-0001;0032-0004-0005-0001;e;Część 22;GOSPODARKA  WODNA;17559
0032-0004-0005-0002;0032-0004-0005;d;Podzadanie 12.5.2;Utrzymanie powierzonego majątku związanego z gospodarką wodną;147839
0032-0004-0005-0002-0001;0032-0004-0005-0002;e;Część 22;GOSPODARKA  WODNA;147839
0032-0004-0005-0003;0032-0004-0005;d;Podzadanie 12.5.3;Ochrona przeciwpowodziowa oraz przeciwdziałanie skutkom suszy;91448
0032-0004-0005-0003-0001;0032-0004-0005-0003;e;Część 22;GOSPODARKA  WODNA;91448
0032-0004-0005-0003-0002;0032-0004-0005-0003;e;Część 41;ŚRODOWISKO;0
0032-0004-0006;0032-0004;c;Zadanie 12.6;Rozbudowa infrastruktury ochrony środowiska;3355
0032-0004-0006-0001;0032-0004-0006;d;Podzadanie 12.6.1;Gospodarka wodno-ściekowa;3355
0032-0004-0006-0001-0001;0032-0004-0006-0001;e;Część 22;GOSPODARKA  WODNA;231
0032-0004-0006-0001-0002;0032-0004-0006-0001;e;Część 41;ŚRODOWISKO;3124
0032-0004-0006-0002;0032-0004-0006;d;Podzadanie 12.6.2;Przedsięwzięcia dostosowujące przedsiębiorstwa do wymogów ochrony środowiska;0
0032-0004-0006-0002-0001;0032-0004-0006-0002;e;Część 41;ŚRODOWISKO;0
0032-0004-0007;0032-0004;c;Zadanie 12.7;Kontrola, monitoring stanu środowiska i przeciwdziałanie poważnym awariom;43462
0032-0004-0007-0001;0032-0004-0007;d;Podzadanie 12.7.1;Kontrola podmiotów korzystających ze środowiska w tym w zakresie zapobiegania poważnym awariom;3871
0032-0004-0007-0001-0001;0032-0004-0007-0001;e;Część 41;ŚRODOWISKO;3871
0032-0004-0007-0002;0032-0004-0007;d;Podzadanie 12.7.2;Monitoring stanu środowiska;5971
0032-0004-0007-0002-0001;0032-0004-0007-0002;e;Część 41;ŚRODOWISKO;5971
0032-0004-0007-0003;0032-0004-0007;d;Podzadanie 12.7.3;Kontrola przestrzegania prawa ochrony środowiska oraz prowadzenie postępowań administracyjnych;33620
0032-0004-0007-0003-0001;0032-0004-0007-0003;e;Część 41;ŚRODOWISKO;33620
0032-0004-0008;0032-0004;c;Zadanie 12.8;Realizacja polityki ekologicznej państwa;7412
0032-0004-0008-0001;0032-0004-0008;d;Podzadanie 12.8.1;Prowadzenie polityki ekologicznej państwa;7412
0032-0004-0008-0001-0001;0032-0004-0008-0001;e;Część 41;ŚRODOWISKO;7412
0032-0005;0032;b;FUNKCJA 15;POLITYKA ZAGRANICZNA;36497
0032-0005-0001;0032-0005;c;Zadanie 15.1;Zapewnianie Polsce sprzyjających warunków rozwoju;36497
0032-0005-0001-0001;0032-0005-0001;d;Podzadanie 15.1.1;Rozwijanie stosunków dwustronnych i wielostronnych;6161
0032-0005-0001-0001-0001;0032-0005-0001-0001;e;Część 22;GOSPODARKA  WODNA;290
0032-0005-0001-0001-0002;0032-0005-0001-0001;e;Część 41;ŚRODOWISKO;5871
0032-0005-0001-0002;0032-0005-0001;d;Podzadanie 15.1.2;Udział Polski we współpracy na forum organizacji międzynarodowych;30336
0032-0005-0001-0002-0001;0032-0005-0001-0002;e;Część 22;GOSPODARKA  WODNA;22119
0032-0005-0001-0002-0002;0032-0005-0001-0002;e;Część 41;ŚRODOWISKO;8217
0032-0005-0002;0032-0005;c;Zadanie 15.5;Kształtowanie i koordynacja polityki zagranicznej;0
0032-0005-0002-0001;0032-0005-0002;d;Podzadanie 15.5.4;Przygotowanie, sprawowanie i obsługa Prezydencji RP w Radzie Unii Europejskiej;0
0032-0005-0002-0001-0001;0032-0005-0002-0001;e;Część 22;GOSPODARKA  WODNA;0
0032-0005-0002-0001-0002;0032-0005-0002-0001;e;Część 41;ŚRODOWISKO;0
0032-0006;0032;b;FUNKCJA 16;SPRAWY OBYWATELSKIE;775
0032-0006-0001;0032-0006;c;Zadanie 16.8;Budowa społeczeństwa obywatelskiego;775
0032-0006-0001-0001;0032-0006-0001;d;Podzadanie 16.8.3;Nadzór i kontrola nad organizacjami pożytku publicznego oraz fundacjami, dla których ministrem właściwym jest Minister Pracy i Polityki Społecznej;775
0032-0006-0001-0001-0001;0032-0006-0001-0001;e;Część 41;ŚRODOWISKO;775
0032-0007;0032;b;FUNKCJA 17;RÓWNOMIERNY ROZWÓJ KRAJU;49408
0032-0007-0001;0032-0007;c;Zadanie 17.3;Koordynacja realizacji NSRO 2007-2013 oraz zarządzanie i wdrażanie programów operacyjnych;47988
0032-0007-0001-0001;0032-0007-0001;d;Podzadanie 17.3.1;Koordynacja NSRO 2007-2013 i zarządzanie realizacją PO Pomoc Techniczna;6888
0032-0007-0001-0001-0001;0032-0007-0001-0001;e;Część 41;ŚRODOWISKO;6888
0032-0007-0001-0002;0032-0007-0001;d;Podzadanie 17.3.9;Wdrażanie PO Innowacyjna Gospodarka;41100
0032-0007-0001-0002-0001;0032-0007-0001-0002;e;Część 41;ŚRODOWISKO;41100
0032-0007-0002;0032-0007;c;Zadanie 17.4;Zarządzanie realizacją pozostałych programów finansowanych z udziałem niepodlegających zwrotowi środków pomocowych;1420
0032-0007-0002-0001;0032-0007-0002;d;Podzadanie 17.4.1;Zarządzanie realizacją zadań w ramach Mechanizmu Finansowego EOG oraz Norweskiego Mechanizmu Finansowego;387
0032-0007-0002-0001-0001;0032-0007-0002-0001;e;Część 41;ŚRODOWISKO;387
0032-0007-0002-0002;0032-0007-0002;d;Podzadanie 17.4.2;Zarządzanie realizacją zadań w ramach Szwajcarsko-Polskiego Programu Współpracy (SPPW);1033
0032-0007-0002-0002-0001;0032-0007-0002-0002;e;Część 41;ŚRODOWISKO;1033
0032-0008;0032;b;FUNKCJA 19;INFRASTRUKTURA TRANSPORTOWA;0
0032-0008-0001;0032-0008;c;Zadanie 19.3;Wspieranie transportu morskiego i żeglugi śródlądowej;0
0032-0008-0001-0001;0032-0008-0001;d;Podzadanie 19.3.2;Wspieranie infrastruktury morskiej i żeglugi śródlądowej;0
0032-0008-0001-0001-0001;0032-0008-0001-0001;e;Część 41;ŚRODOWISKO;0
0032-0009;0032;b;FUNKCJA 22;PLANOWANIE STRATEGICZNE ORAZ OBSŁUGA ADMINISTRACYJNA I TECHNICZNA;118822
0032-0009-0001;0032-0009;c;Zadanie 22.1;Koordynacja merytoryczna działalności, planowania strategicznego i operacyjnego;17950
0032-0009-0001-0002;0032-0009-0001;d;Część 22;GOSPODARKA  WODNA;5713
0032-0009-0001-0003;0032-0009-0001;d;Część 41;ŚRODOWISKO;12237
0032-0009-0002;0032-0009;c;Zadanie 22.2;Obsługa administracyjna;58173
0032-0009-0002-0004;0032-0009-0002;d;Część 22;GOSPODARKA  WODNA;24537
0032-0009-0002-0005;0032-0009-0002;d;Część 41;ŚRODOWISKO;33636
0032-0009-0003;0032-0009;c;Zadanie 22.3;Obsługa techniczna;42699
0032-0009-0003-0006;0032-0009-0003;d;Część 22;GOSPODARKA  WODNA;19140
0032-0009-0003-0007;0032-0009-0003;d;Część 41;ŚRODOWISKO;23559
0033;;a;Dysponent;Ministerstwo Zdrowia;3948098
0033-0001;0033;b;FUNKCJA 3;EDUKACJA, WYCHOWANIE I OPIEKA;1375234
0033-0001-0001;0033-0001;c;Zadanie 3.1;Edukacja i wychowanie;6567
0033-0001-0001-0001;0033-0001-0001;d;Podzadanie 3.1.4;Egzaminy zewnętrzne;6567
0033-0001-0001-0001-0001;0033-0001-0001-0001;e;Część 46;ZDROWIE;6567
0033-0001-0002;0033-0001;c;Zadanie 3.2;Szkolnictwo wyższe;1368667
0033-0001-0002-0001;0033-0001-0002;d;Podzadanie 3.2.1;Zarządzanie systemem szkolnictwa wyższego;548
0033-0001-0002-0001-0001;0033-0001-0002-0001;e;Część 46;ZDROWIE;548
0033-0001-0002-0002;0033-0001-0002;d;Podzadanie 3.2.2;Kształcenie w szkolnictwie wyższym akademickim;1237630
0033-0001-0002-0002-0001;0033-0001-0002-0002;e;Część 46;ZDROWIE;1237630
0033-0001-0002-0003;0033-0001-0002;d;Podzadanie 3.2.3;Kształcenie w szkolnictwie wyższym zawodowym;96385
0033-0001-0002-0003-0001;0033-0001-0002-0003;e;Część 46;ZDROWIE;96385
0033-0001-0002-0004;0033-0001-0002;d;Podzadanie 3.2.4;Wsparcie procesu studiowania;34104
0033-0001-0002-0004-0001;0033-0001-0002-0004;e;Część 46;ZDROWIE;34104
0033-0002;0033;b;FUNKCJA 6;POLITYKA GOSPODARCZA KRAJU;684
0033-0002-0001;0033-0002;c;Zadanie 6.10;Statystyka publiczna;684
0033-0002-0001-0001;0033-0002-0001;d;Podzadanie 6.10.1;Organizowanie i prowadzenie badań statystycznych;684
0033-0002-0001-0001-0001;0033-0002-0001-0001;e;Część 46;ZDROWIE;684
0033-0003;0033;b;FUNKCJA 9;KULTURA I DZIEDZICTWO NARODOWE;8813
0033-0003-0001;0033-0003;c;Zadanie 9.2;Ochrona dziedzictwa narodowego;8813
0033-0003-0001-0001;0033-0003-0001;d;Podzadanie 9.2.5;Utrzymywanie i powiększanie zasobów archiwalnych i filmowych;8813
0033-0003-0001-0001-0001;0033-0003-0001-0001;e;Część 46;ZDROWIE;8813
0033-0004;0033;b;FUNKCJA 10;NAUKA POLSKA;1750
0033-0004-0001;0033-0004;c;Zadanie 10.2;Wzmocnienie badań naukowych służących praktycznym zastosowaniom;1750
0033-0004-0001-0001;0033-0004-0001;d;Podzadanie 10.2.1;Wsparcie badań stosowanych i prac rozwojowych;1750
0033-0004-0001-0001-0001;0033-0004-0001-0001;e;Część 46;ZDROWIE;1750
0033-0005;0033;b;FUNKCJA 11;BEZPIECZEŃSTWO ZEWNĘTRZNE I NIENARUSZALNOŚĆ GRANIC;11530
0033-0005-0001;0033-0005;c;Zadanie 11.5;Gotowość struktur administracyjno-gospodarczych kraju do obrony państwa;11530
0033-0005-0001-0001;0033-0005-0001;d;Podzadanie 11.5.2;Pozamilitarne przygotowania obronne;11530
0033-0005-0001-0001-0001;0033-0005-0001-0001;e;Część 46;ZDROWIE;11530
0033-0006;0033;b;FUNKCJA 15;POLITYKA ZAGRANICZNA;12823
0033-0006-0001;0033-0006;c;Zadanie 15.1;Zapewnianie Polsce sprzyjających warunków rozwoju;12823
0033-0006-0001-0001;0033-0006-0001;d;Podzadanie 15.1.2;Udział Polski we współpracy na forum organizacji międzynarodowych;12823
0033-0006-0001-0001-0001;0033-0006-0001-0001;e;Część 46;ZDROWIE;12823
0033-0006-0002;0033-0006;c;Zadanie 15.5;Kształtowanie i koordynacja polityki zagranicznej;0
0033-0006-0002-0001;0033-0006-0002;d;Podzadanie 15.5.4;Przygotowanie, sprawowanie i obsługa Prezydencji RP w Radzie Unii Europejskiej;0
0033-0006-0002-0001-0001;0033-0006-0002-0001;e;Część 46;ZDROWIE;0
0033-0007;0033;b;FUNKCJA 16;SPRAWY OBYWATELSKIE;22901
0033-0007-0001;0033-0007;c;Zadanie 16.8;Budowa społeczeństwa obywatelskiego;22901
0033-0007-0001-0001;0033-0007-0001;d;Podzadanie 16.8.3;Nadzór i kontrola nad organizacjami pożytku publicznego oraz fundacjami, dla których ministrem właściwym jest Minister Pracy i Polityki Społecznej;22901
0033-0007-0001-0001-0001;0033-0007-0001-0001;e;Część 46;ZDROWIE;22901
0033-0008;0033;b;FUNKCJA 17;RÓWNOMIERNY ROZWÓJ KRAJU;15154
0033-0008-0001;0033-0008;c;Zadanie 17.3;Koordynacja realizacji NSRO 2007-2013 oraz zarządzanie i wdrażanie programów operacyjnych;12462
0033-0008-0001-0001;0033-0008-0001;d;Podzadanie 17.3.7;Rozliczanie środków pochodzących z UE w ramach NSRO;4418
0033-0008-0001-0001-0001;0033-0008-0001-0001;e;Część 46;ZDROWIE;4418
0033-0008-0001-0002;0033-0008-0001;d;Podzadanie 17.3.9;Wdrażanie PO Innowacyjna Gospodarka;6044
0033-0008-0001-0002-0001;0033-0008-0001-0002;e;Część 46;ZDROWIE;6044
0033-0008-0001-0003;0033-0008-0001;d;Podzadanie 17.3.10;Wdrażanie PO Infrastruktura i Środowisko;2000
0033-0008-0001-0003-0001;0033-0008-0001-0003;e;Część 46;ZDROWIE;2000
0033-0008-0002;0033-0008;c;Zadanie 17.4;Zarządzanie realizacją pozostałych programów finansowanych z udziałem niepodlegających zwrotowi środków pomocowych;2692
0033-0008-0002-0001;0033-0008-0002;d;Podzadanie 17.4.1;Zarządzanie realizacją zadań w ramach Mechanizmu Finansowego EOG oraz Norweskiego Mechanizmu Finansowego;636
0033-0008-0002-0001-0001;0033-0008-0002-0001;e;Część 46;ZDROWIE;636
0033-0008-0002-0002;0033-0008-0002;d;Podzadanie 17.4.2;Zarządzanie realizacją zadań w ramach Szwajcarsko-Polskiego Programu Współpracy (SPPW);1667
0033-0008-0002-0002-0001;0033-0008-0002-0002;e;Część 46;ZDROWIE;1667
0033-0008-0002-0003;0033-0008-0002;d;Podzadanie 17.4.3;Wdrażanie projektów w ramach Mechanizmu Finansowego EOG oraz Norweskiego Mechanizmu Finansowego;389
