"numer";"Funkcja / zadanie / podzadanie
";"Dysponent
";"Część
";"Cel
";"Miernik
";;;"Przewidywane wydatki w 2012 r. (w tys. zł)
";"nation";"eu"
"13.6.2";"13.6.2. Wspieranie społeczeństwa obywatelskiego oraz gospodarki społecznej
";"Ministerstwo Rozwoju
Regionalnego
";34;"Tworzenie kompleksowych warunków dla rozwoju inicjatyw obywatelskich
";"Liczba uchwalonych w sposób partycypacyjny programów gminnych
";0;25;"4 964
";676;"4 288
"
"13.6.2";;"Ministerstwo Pracy i Polityki
Społecznej
";44;"Stwarzanie kompleksowych warunków dla rozwoju inicjatyw obywatelskich
";"Liczba ofert składanych w konkursie w ramach
Funduszu Inicjatyw Obywatelskich
";"3 734
";"4 134
";550;550;0
"13.6.3";"13.6.3. Nadzór nad fundacjami i stowarzyszeniami oraz organizacjami poŜytku publicznego
";"Ministerstwo Pracy i Polityki
Społecznej
";44;"Zapewnianie sprawnego i zgodnego z prawem funkcjonowania organizacji poŜytku publicznego i fundacji
";"Liczba organizacji poŜytku publicznego i fundacji wobec których Minister Pracy i Polityki Społecznej zastosował środki nadzorcze oraz przeprowadzonych postępowań kontrolnych (własnych i zleconych)
";"2 820
";"3 130
";296;296;0
"14";"FUNKCJA 14. RYNEK PRACY
";;;;;;;"1  522 758
";"1  070 629
";"452 129
"
"14.1";"14.1. Wspieranie zatrudnienia i przeciwdziałanie bezrobociu
";"Ministerstwo Obrony Narodowej
";29;"Rozwój aktywizacji zawodowej
";"Liczba osób, które skorzystały z pomocy aktywizacyjnej do liczby osób ubiegających się o pomoc
";"90,00%
";"90,00%
";"14 631
";"14 631
";0
"14.1";;"Ministerstwo Pracy i Polityki
Społecznej
";31;"Zmniejszanie bezrobocia
";"Stopa bezrobocia rejestrowanego
";"12,3 %
";"10,0 %
";"456 066
";"45 613
";"410 453
"
"14.1";;"Wojewodowie
";85;"Zapewnienie prawidłowości działania publicznych słuŜb zatrudnienia
";"Procent terminowo wydanych zezwoleń na pracę w stosunku do ogólnej liczby wydanych zezwoleń
";"-
";100;"4 396
";"4 396
";0
"14.1.1";"14.1.1. Kształtowanie i realizacja rozwiązań na
rzecz rynku pracy w zakresie promocji zatrudnienia i instytucji rynku pracy
";"Ministerstwo Obrony Narodowej
";29;"Aktywizacja zawodowa osób uprawnionych
";"Liczba osób, które skorzystały z pomocy aktywizacyjnej do liczby osób ubiegających się o pomoc
";"90,00%
";"90,00%
";"14 631
";"14 631
";0
"14.1.1";;"Ministerstwo Pracy i Polityki
Społecznej
";31;"Usprawnianie funkcjonowania Publicznych SłuŜb
Zatrudnienia i instytucji rynku pracy
";"Wskaźnik wzrostu liczby osób zaktywizowanych w stosunku do roku poprzedniego
";"15,4 %
";"100,0 %
";"393 736
";"6 233
";"387 503
"
"14.1.1";;"Wojewodowie
";85;"-
";"-
";"-
";"-
";"4 396
";"4 396
";0
"14.1.2";"14.1.2. Zatrudnienie oraz przeciwdziałanie marginalizacji i wykluczeniu społecznemu młodzieŜy
";"Ministerstwo Pracy i Polityki
Społecznej
";31;"Zwiększanie dostępu młodzieŜy do usług rynku pracy
";"Liczba beneficjentów korzystających z usług rynku pracy oferowanych przez Ochotnicze Hufce Pracy
";"852 996
";"830 000
";"62 330
";"39 380
";"22 950
"
"14.2";"14.2. Budowa nowoczesnych stosunków pracy
";"Państwowa Inspekcja Pracy
";12;"Dostosowywanie regulacji i instytucji rynku pracy do wyzwań nowoczesnej gospodarki
";"Odsetek kontroli zakończonych wydaniem nakazu
";"59,4%
";"60%
";"196 328
";"196 328
";0
"14.2";;;12;;"Liczba realizowanych projektów dotyczących prewencji i ochrony pracy
";10;10;;;
"14.2";;"Ministerstwo Pracy i Polityki
Społecznej
";31;"Wsparcie nowoczesnych form rynku pracy i ochrona roszczeń pracowniczych
";"Liczba osób, którym wypłacono świadczenia z Funduszu Gwarantowanych Świadczeń Pracowniczych
";"47 442
";"42 803
";"31 630
";"31 630
";0
"14.2";;;31;"Poprawa bezpieczeństwa i warunków pracy
";"Wskaźnik częstotliwości wypadków śmiertelnych na
1000 pracujących
";38;40;;;
"14.2";;"Wojewodowie
";85;"Zapewnienie prawidłowości działania publicznych słuŜb zatrudnienia, w tym zgodności z ustalonymi standardami usług rynku pracy
";"Liczba jednostek, w których stwierdzono nieprawidłowości w stosunku do liczby jednostek skontrolowanych
";"-
";"49,8%
";"7 018
";"7 018
";0
"14.2.1";"14.2.1. Elastyczność i bezpieczeństwo w zatrudnieniu
";"Ministerstwo Pracy i Polityki
Społecznej
";31;"Wsparcie nowoczesnych form rynku pracy i ochrona roszczeń pracowniczych
";"Liczba osób, którym wypłacono świadczenia z Funduszu Gwarantowanych Świadczeń Pracowniczych
";"47 442
";"42 803
";"8 810
";"8 810
";0
"14.2.2";"14.2.2. Nadzór i kontrola
";"Państwowa Inspekcja Pracy
";12;"Poprawa przestrzegania prawa pracy w kontrolowanych podmiotach
";"Odsetek decyzji zrealizowanych przez podmioty kontrolowane (spośród decyzji objętych sprawdzeniem w ramach czynności kontrolnych inspektorów pracy)
";"-
";"90%
";"183 599
";"183 599
";0
"14.2.2";;"Wojewodowie
";85;"-
";"-
";"-
";"-
";"7 018
";"7 018
";0
"14.2.3";"14.2.3. Bezpieczeństwo i higiena pracy
";"Państwowa Inspekcja Pracy
";12;"Upowszechnianie wiedzy na tematy związane z ochroną
pracy
";"Liczba pracodawców - uczestników programów prewencyjnych, słuŜących poprawie bezpieczeństwa i ochrony zdrowia pracowników oraz zapewnieniu przestrzegania prawa pracy
";3400;3700;"12 729
";"12 729
";0
"14.2.3";;"Ministerstwo Pracy i Polityki
Społecznej
";31;"Poprawa bezpieczeństwa i warunków pracy
";"Wskaźnik częstotliwości wypadków śmiertelnych na
1000 pracujących
";38;40;"22 820
";"22 820
";0
"14.3";"14.3. Aktywizacja zawodowa osób niepełnosprawnych
";"Ministerstwo Pracy i Polityki
Społecznej
";44;"Zwiększanie aktywności zawodowej osób niepełnosprawnych
";"Współczynnik aktywności zawodowej osób niepełnosprawnych w wieku produkcyjnym
";"25,8 %
";"26,4 %
";"787 879
";"749 557
";"38 322
"
"14.3";;"Wojewodowie
";85;"Zwiększenie zainteresowania osób niepełnosprawnych zatrudnieniem
";"Liczba osób niepełnosprawnych zatrudnionych w zakładach pracy chronionej
";"-
";12408;"2 397
";"2 397
";0
"14.3.1";"14.3.1. Wspomaganie aktywizacji zawodowej osób niepełnosprawnych
";"Ministerstwo Pracy i Polityki
Społecznej
";44;"Zwiększanie zatrudnienia osób niepełnosprawnych w wieku produkcyjnym
";"Wskaźnik zatrudnienia osób niepełnosprawnych w wieku produkcyjnym
";"21,9 %
";"22,9 %
";"787 879
";"749 557
";"38 322
"
"14.3.1";;"Wojewodowie
";85;"-
";"-
";"-
";"-
";"2 397
";"2 397
";0
"14.4";"14.4. Wspieranie rozwoju i organizowanie dialogu i partnerstwa społecznego
";"Ministerstwo Pracy i Polityki
Społecznej
";31;"Zwiększanie roli dialogu i partnerstwa społecznego w rozwiązywaniu problemów społeczno-gospodarczych
";"Liczba podmiotów dialogu i partnerstwa społecznego, z którymi utrzymywana jest współpraca
";269;270;"21 612
";"18 258
";"3 354
"
"14.4";;"Wojewodowie
";85;"Rozwiązywanie konfliktów społecznych, realizacja inicjatyw społeczno-gospodarczych
";"Liczba inicjatyw społeczno-gospodarczych koordynowanych przez Wojewodów
";"-
";775;801;801;0
"14.4.1";"14.4.1. Analiza i promocja informacji w zakresie dialogu społecznego
";"Ministerstwo Pracy i Polityki
Społecznej
";31;"Uzyskiwanie informacji o stanie dialogu społecznego, upowszechnianie wiedzy słuŜącej rozwojowi dialogu społecznego oraz wzrost kompetencji uczestników dialogu
";"Liczba przedsięwzięć promocyjnych
";121;125;"1 312
";"1 312
";0
"14.4.2";"14.4.2. Koordynacja współpracy z partnerami społecznymi i wzmocnienie instytucji dialogu społecznego
";"Ministerstwo Pracy i Polityki
Społecznej
";31;"Zapewnianie prawidłowości działania instytucji dialogu społecznego
";"Liczba instytucji dialogu i partnerstwa społecznego, których działalność jest monitorowana
";94;94;"20 300
";"16 946
";"3 354
"
"14.4.2";;"Wojewodowie
";85;"-
";"-
";"-
";"-
";801;801;0
"15";"FUNKCJA 15. POLITYKA ZAGRANICZNA
";;;;;;;"1  544 655
";"1  544 655
";0
"15.1";"15.1. Zapewnianie Polsce sprzyjających warunków rozwoju
";"Ministerstwo Infrastruktury
";18;"Zapewnienie Polsce sprzyjających warunków rozwoju i odpowiedniej pozycji na arenie międzynarodowej
";"Udział w pracach najwaŜniejszych organizacji międzynarodowych w dziedzinie budownictwa (w szt.)
";3;1;35;35;0
"15.1";;"Ministerstwo Infrastruktury
";21;"Zapewnienie Polsce sprzyjających warunków rozwoju i odpowiedniej pozycji na arenie międzynarodowej
";"Udział w pracach najwaŜniejszych organizacji międzynarodowych w dziedzinie gospodarki morskiej
";5;5;750;750;0
"15.1";;"Ministerstwo Środowiska
";22;"Zapewnienie Polsce sprzyjającej warunków rozwoju i odpowiedniej pozycji na arenie międzynarodowej
";"Poziom wywiązywania się z zobowiązań
międzynarodowych(%)
";100;100;"22 409
";"22 409
";0
"15.1";;"Ministerstwo Infrastruktury
";26;"Zapewnienie Polsce sprzyjających warunków rozwoju i odpowiedniej pozycji na arenie międzynarodowej
";"Udział w pracach najwaŜniejszych organizacji międzynarodwoych w dziedzinie łączności (w szt.)
";5;5;"1 910
";"1 910
";0
"15.1";;"Ministerstwo Edukacji
Narodowej
";30;"Zapewnienie moŜliwości czynnego członkostwa MEN w organizacjach międzynarodowych
";"Stopień wywiązywania się przez MEN z zobowiązań wobec organizacji międzynarodowych, w których uczestniczy (%)
";"100%
";"100%
";"20 067
";"20 067
";0
"15.1";;"Ministerstwo Infrastruktury
";39;"Zapewnienie Polsce sprzyjających warunków rozwoju i odpowiedniej pozycji na arenie międzynarodowej
";"Udział w pracach najwaŜniejszych organizacji międzynarodowych
";6;7;"1 387
";"1 387
";0
"15.1";;"Ministerstwo Środowiska
";41;"Zapewnienie Polsce sprzyjających warunków rozwoju i odpowiedniej pozycji na arenie międzynarodowej
";"Poziom wywiązywania się z zobowiązań
międzynarodowych (%)
";100;100;"14 088
";"14 088
";0
"15.1";;"Ministerstwo Spraw
Zagranicznych
";45;"Zapewnienie Polsce sprzyjających warunków rozwoju i odpowiedniej pozycji na arenie międzynarodowej
";"Liczba wizyt na wysokim szczeblu w Polsce
(prezydent, premier, minister SZ)
";138;150;"919 274
";"919 274
";0
"15.1";;;45;;"Liczba Polaków zatrudnionych na wysokich stanowiskach w UE, NATO, ONZ (dyrektor i wyŜej)
";43;46;;;
"15.1";;"Ministerstwo Zdrowia
";46;"Zapewnienie pełnoprawnego statusu członkowskiego
Polski w danej organizacji międzynarodowej
";"Ilość podjętych sankcji za niewywiązywanie się ze zobowiązań jako członka organizacji międzynarodowej
";0;0;"12 823
";"12 823
";0
"15.1.1";"15.1.1. Rozwijanie stosunków dwustronnych i wielostronnych
";"Ministerstwo Środowiska
";22;"Reprezentowanie interesów RP na forum międzynarodowym
";"Stopień realizacji celu (%)
";100;100;290;290;0
"15.1.1";;"Ministerstwo Środowiska
";41;"Reprezentowanie interesów RP na forum międzynarodowym
";"Liczba przygotowanych sprawozdań, protokołów zdawczo-odbiorczych związanych ze współpracą międzynarodową
";816;816;"5 871
";"5 871
";0
"15.1.1";;"Ministerstwo Spraw
Zagranicznych
";45;"Zapewnienie korzystnych warunków współpracy z innymi państwami
";"Liczba wizyt na wysokim szczeblu (prezydent, premier, minister SZ)
";138;150;"474 383
";"474 383
";0
"15.1.2";"15.1.2. Udział Polski we współpracy na forum organizacji międzynarodowych
";"Ministerstwo Infrastruktury
";18;"Zapewnienie Polsce odpowiedniej pozycji w pracach orgaznizacji międzynarodowych
";"Udział w pracach najwaŜniejszych organizacji międzynarodowych w dziedzinie budownictwa (w szt.)
";3;1;35;35;0
"15.1.2";;"Ministerstwo Infrastruktury
";21;"Zapewnienie Polsce odpowiedniej pozycji w pracach organizacji międzynarodowych
";"Udział w pracach najwaŜniejszych organizacji międzynarodowych w dziedzinie gospodarki morskiej
";5;5;750;750;0
"15.1.2";;"Ministerstwo Środowiska
";22;"Zapewnienie Polsce odpowiedniej pozycji w pracach organizacji międzynarodowych
";"Poziom wywiązywania się z zobowiązań
międzynarodowych(%)
";100;100;"22 119
";"22 119
";0
"15.1.2";;"Ministerstwo Infrastruktury
";26;"Zapewnienie Polsce odpowiedniej pozycji w pracach organizacji międzynarodwoych
";"Udział w pracach najwaŜniejszych organizacji międzynarodowych w dziedzinie łączności (w szt.)
";5;5;"1 910
";"1 910
";0
"15.1.2";;"Ministerstwo Edukacji
Narodowej
";30;"Zapewnienie moŜliwości czynnego członkostwa MEN w organizacjach międzynarodowych
";"Stopień wywiązywania się przez MEN z zobowiązań wobec organizacji międzynarodowych, w których uczestniczy (%)
";"100%
";"100%
";"20 067
";"20 067
";0
"15.1.2";;"Ministerstwo Infrastruktury
";39;"Zapewnienie Polsce odpowiedniej pozycji w pracach organizacji międzynarodowych
";"Udział w pracach najwaŜniejszych organizacji międzynarodowych
";6;7;"1 387
";"1 387
";0
"15.1.2";;"Ministerstwo Środowiska
";41;"Zapewnienie Polsce odpowiedniej pozycji w pracach organizacji międzynarodowych
";"Poziom wywiązywania się z zobowiazań
międzynarodowych (%)
";100;100;"8 217
";"8 217
";0
"15.1.2";;"Ministerstwo Spraw
Zagranicznych
";45;"Zapewnienie Polsce odpowiedniej pozycji w pracach organizacji międzynarodowych
";"Liczba Polaków zatrudnionych na wysokich stanowiskach w ONZ, OECD, Radzie Europy, OBWE
";9;11;"444 891
";"444 891
";0
"15.1.2";;"Ministerstwo Zdrowia
";46;"Zapewnienie pełnoprawnego statusu członkowskiego
Polski w danej organizacji międzynarodowej
";"Ilość podjętych sankcji za niewywiązywanie się ze zobowiązań jako członka organizacji międzynarodowej
";0;0;"12 823
";"12 823
";0
"15.2";"15.2. Zapewnianie bezpieczeństwa państwa
";"Ministerstwo Spraw
Zagranicznych
";45;"Zapewnienie wysokiego poziomu bezpieczeństwa zewnętrznego państwa
";"Ocena zagroŜeń dla bezpieczeństwa państwa –
ocena opisowa
";"dobra
";"dobra
";"26 504
";"26 504
";0
"15.2";;;45;"Zapewnienie Polsce odpowiedniej pozycji w NATO i UE
";"Liczba Polaków zatrudnionych na wysokich stanowiskach w NATO i ESDZ
";15;16;;;
"15.2.1";"15.2.1. Umacnianie bezpieczeństwa politycznego i wojskowego oraz pokoju
";"Ministerstwo Spraw
Zagranicznych
";45;"Zapewnienie  bezpieczeństwa politycznego i wojskowego
";"Ocena zagroŜeń politycznych i wojskowych dla bezpieczeństwa państwa – ocena opisowa
";"dobra
";"dobra
";"15 404
";"15 404
";0
"15.2.2";"15.2.2. Umacnianie bezpieczeństwa ekonomicznego, energetycznego i ekologicznego
";"Ministerstwo Spraw
Zagranicznych
";45;"Zapewnienie bezpieczeństwa ekonomicznego, energetycznego i ekologicznego kraju
";"Ocena zagroŜeń ekonomicznych i ekologicznych dla bezpieczeństwa państwa – ocena opisowa
";"dobra
";"dobra
";"2 890
";"2 890
";0
"15.2.3";"15.2.3. Pozostałe wymiary bezpieczeństwa
";"Ministerstwo Spraw
Zagranicznych
";45;"Zapewnienie bezpieczeństwa w pozostałych obszarach
";"Ocena zagroŜeń dla bezpieczeństwa kraju w pozostałych obszarach - ocena opisowa
";"dobra
";"dobra
";"8 210
";"8 210
";0
"15.3";"15.3. Reprezentowanie i ochrona międzynarodowych interesów
RP i jej obywateli za granicą
";"Ministerstwo Spraw
Zagranicznych
";45;"Realizacja istotnych międzynarodowych interesów RP i jej obywateli za granicą
";"Liczba czynności konsularnych dotyczących obywateli polskich
";"474 344
";"510 000
";"235 855
";"235 855
";0
"15.3";;;45;;"Liczba spraw przeciwko Polsce przed międzynarodowymi organami praw człowieka, organami sądowymi Unii Europejskiej i Trybunałem EFTA
";710;710;;;
"15.3.1";"15.3.1. Zapewnianie opieki i obsługi konsularnej
";"Ministerstwo Spraw
Zagranicznych
";45;"Zapewnianie sprawnej opieki i obsługi konsularnej
";"Liczba rejestrowanych czynności konsularnych
";"1  414 701
";"1  480 000
";"228 766
";"228 766
";0
"15.3.2";"15.3.2. Reprezentowanie i ochrona interesów RP
przed międzynarodowymi organami sądowymi
";"Ministerstwo Spraw
Zagranicznych
";45;"Efektywna koordynacja i wspieranie działań administracji rządowej w zakresie postępowań nieformalnych i formalnych wszczynanych przeciwko Polsce oraz postępowań przed sądami i trybunałami międzynarodowymi
";"Liczba spraw przeciwko Polsce przed sądami i trybunałami międzynarodowymi
";640;640;"4 216
";"4 216
";0
"15.3.3";"15.3.3. Zapewnianie obsługi prawnej działań
wynikających z członkostwa Polski w UE
";"Ministerstwo Spraw
Zagranicznych
";45;"Monitorowanie i sprawna koordynacja działań administracji rządowej dotyczących stosowania i transpozycji przepisów prawa UE do prawa polskiego oraz postępowań nieformalnych i formalnych wszczynanych przeciwko Polsce
";"Liczba postępowań formalnych wszczętych przeciwko Polsce przez Komisję Europejską z związku z podejrzeniem naruszenia prawa UE
";26;20;"2 873
";"2 873
";0
"15.4";"15.4. Kształtowanie międzynarodowego wizerunku RP
";"Ministerstwo Nauki i Szkolnictwa
WyŜszego
";38;"Promocja właściwego wizerunku RP na forum międzynarodowym
";"Liczba studentów przyjeŜdŜających do Polski w ramach programu Erasmus
";3730;5800;"6 985
";"6 985
";0
"15.4";;"Ministerstwo Spraw
Zagranicznych
";45;"Promocja właściwego wizerunku RP na forum międzynarodowym
";"Stopień realizacji przedsięwzięć promocyjnych (w%)
";"97 %
";"98 %
";"197 711
";"197 711
";0
"15.4";;;45;;"Liczba czynności konsularnych dotyczących cudzoziemców
";"940 357
";"970 000
";;;
"15.4";;"Wojewodowie
";85;"-
";"-
";"-
";"-
";23;23;0
"15.4.1";"15.4.1. Prowadzenie promocji kraju
";"Ministerstwo Nauki i Szkolnictwa
WyŜszego
";38;"Umacnianie pozytywnego wizerunku Polski za granicą
";"Liczba uczestników letnich kursów języka i kultury polskiej
";680;690;"6 985
";"6 985
";0
"15.4.1";;"Ministerstwo Spraw
Zagranicznych
";45;"Umocnienie pozytywnego wizerunku Polski za granicą
";"Stopień realizacji przedsięwzięć promocyjnych (w %)
";"96%
";"100 %
";"109 215
";"109 215
";0
"15.4.2";"15.4.2. Udział we współpracy rozwojowej i międzynarodowej pomocy humanitarnej
";"Ministerstwo Spraw
Zagranicznych
";45;"Promocja wizerunku Polski jako kraju angaŜującego się
w udzielanie pomocy rozwojowej i humanitarnej
";"Zgodność wykorzystania rezerwy z zaplanowanym podziałem środków (w %)
";"78 %
";"85 %
";"5 154
";"5 154
";0
"15.4.3";"15.4.3. Wpieranie rozwoju demokracji, praw człowieka i rządów prawa
";"Ministerstwo Spraw
Zagranicznych
";45;"Umacnianie demokracji, przestrzegania praw człowieka i rządów prawa w świecie
";"Liczba deklaracji UE w sprawie poszanowania demokracji i obrony praw człowieka, których Polska była stroną
";273;300;"1 432
";"1 432
";0
"15.4.4";"15.4.4. Zapewnianie obsługi cudzoziemców i zagranicznych osób prawnych
";"Ministerstwo Spraw
Zagranicznych
";45;"Tworzenie obrazu Polski jako kraju przyjaznego dla cudzoziemców i zagranicznych osób prawnych
";"Liczba interesantów
";"940 357
";"970 000
";"81 910
";"81 910
";0
"15.4.4";;"Wojewodowie
";85;"-
";"-
";"-
";"-
";23;23;0
"15.5";"15.5. Kształtowanie i koordynacja polityki zagranicznej
";"Kancelaria Sejmu
";2;"Zapewnienie jak najlepszej i spójnej realizacji interesów
Polski na forum międzynarodowym.
";"Odsetek realizacji planu spotkań związanych z
Prezydencją
";0;"100 %
";"1 581
";"1 581
";0
"15.5";;"Kancelaria Senatu
";3;"Zapewnienie jak najlepszej i spójnej realizacji interesów
Polski na forum międzynarodowym
";"Odsetek zrealizowanych celów operacyjnych
";"75,3%
";"100 %
";"1 053
";"1 053
";0
"15.5";;"Kancelaria Prezesa Rady
Ministrów
";16;"Zapewnienie sprawnej i terminowej realizacji działań związnych z przygotowaniem i sprawowaniem polskiego Przewodnictwa w Radzie UE w II połowie 2011 roku
";"Kwartalne sprawozdanie przedłoŜone
Pełnomocnikowi
";4;2;0;0;0
"15.5";;"Ministerstwo Infrastruktury
";18;"Zapewnienie jak najlepszej i spójnej realizacji interesów
Polski na forum międzynarodowym
";"Liczba kwartalnych sprawozdań przedłoŜonych Pełnomocnikowi Rządu ds. Przygotowania Organów Administracji Rządowej do sprawowania przez Rzeczpospolita Polską Przewodnictwa w Radzie UE (w szt.)
";4;0;0;0;0
"15.5";;"Ministerstwo Finansów
";19;"Zapewnienie jak najlepszej i spójnej realizacji interesów
Polski na forum międzynarodowym
";"Kwartalne sprawozdanie przedłoŜone
Pełnomocnikowi
";3;4;0;0;0
"15.5";;"Ministerstwo Gospodarki
";20;"Zapewnienie sprawnej i terminowwej realizacji działań związanych z przygotowaniem i prowadzeniem polskiego Przewodnoctwa w Radzie Unii Europejskiej w II połowie
2011r poprzez umoŜliwienie finansowania podejmowanych działań
";"Kwartalne sprawozdanie przedłoŜone
Pełnomocnikowi
";4;4;0;0;0
"15.5";;"Ministerstwo Infrastruktury
";21;"Zapewnienie jak najlepszej i spójnej realizacji interesów
Polski na forum międzynarodowym
";"Udział pracowników Korpusu Prezydencji do ogółu zatrudnionych
";"2,5 %
";"0,6 %
";108;108;0
"15.5";;"Ministerstwo Środowiska
";22;"Zapewnienie najlepszej i spójnej realizacji interesów
Polski na forum mięzynarodowym
";"Liczba kwartalnych sprawozdań przedłoŜonych pełnomocnikowi
";4;0;0;0;0
"15.5";;"Ministerstwo Kultury i
Dziedzictwa Narodowego
";24;"Zapewnienie jak najlepszej i spójnej realizacji interesów
Polski na forum międzynarodowym
";"Kwartalne sprawozdanie przedłoŜone
Pełnomocnikowi
";4;1;0;0;0
"15.5";;"Ministerstwo Sportu i Turystyki
";25;"Zapewnienie jak najlepszej i spójnej realizacji interesów
Polski na forum międzynarodowym
";"Kwartalne sprawozdanie przedłoŜone
Pełnomocnikowi
";0;;0;0;0
"15.5";;"Ministerstwo Infrastruktury
";26;"Zapewnienie jak najlepszej i spójnej realizacji interesów
Polski na forum międzynarodowym
";"Udział pracowników Korpusu Prezydencji do ogółu zatrudnionych (w %)
";250;60;436;436;0
"15.5";;"Ministerstwo Spraw
Wewnętrznych i Administracji
";27;"X
";"X
";"x
";"x
";0;0;0
"15.5";;"Ministerstwo Nauki i Szkolnictwa
WyŜszego
";28;"Zapewnienie sprawnej i terminowej realizacji zadań związanych z przygotowaniem i prowadzeniem polskiego przewodnictwa w Radzie Unii Europejskiej w II połowie
2011 r. poprzez umoŜliwienie finansowania podejmowanych działań
";"Kwartalne sprawozdanie zaakceptowane przez
Komitet Stały Rady Ministrów
";4;2;339;339;0
"15.5";;"Ministerstwo Obrony Narodowej
";29;"Zapewnienie jak najlepszej i spójnej realizacji interesów
Polski na forum międzynarodowym
";"Opis stopnia realizacji priorytetów przewodnictwa
";"-
";"-
";0;0;0
"15.5";;"Ministerstwo Edukacji
Narodowej
";30;"Zapewnienie moŜliwości czynnego członkostwa MEN w organizacjach międzynarodowych oraz warunków do właściwej realizacji programów UE w Polsce
";"Stopień wywiązywania się przez MEN z zobowiązań
wobec instytucji UE (%)
";"100%
";"100%
";"7 795
";"7 795
";0
"15.5";;"Ministerstwo Pracy i Polityki
Społecznej
";31;"-
";"-
";"-
";"-
";"1 942
";"1 942
";0
"15.5";;"Ministerstwo Rolnictwa i
Rozwoju Wsi
";32;"Zapewnienie sprawnej i terminowej realizacji zadań związanych z przygotowaniem i prowadzeniem polskiego przewodnictwa w Radzie Unii Europejskiej w II połowie
2011r. poprzez umoŜliwienie finansowania podejmowanych działań
";"Kwartalne sprawozdanie zaakceptowane przez
Komitet Stały Rady Ministrów
";4;;0;0;0
"15.5";;"Ministerstwo Rolnictwa i
Rozwoju Wsi
";33;"Zapewnienie sprawnej i terminowej realizacji zadań związanych z przygotowaniem i prowadzeniem polskiego przewodnictwa w Radzie Unii Europejskiej w II połowie
2011r. poprzez umoŜliwienie finansowania podejmowanych działań
";"Kwartalne sprawozdanie zaakceptowane przez
Komitet Stały Rady Ministrów
";4;;0;0;0
"15.5";;"Ministerstwo Rozwoju
Regionalnego
";34;"Zapewnienie jak najlepszej i spójnej realizacji interesów
Polski na forum międzynarodowym
";"2011Ilość spotkańkrajowych i zagranicznychodbytych w danym roku w ramachprzygotowań i sprawowania przewodnictwaPolski w RadzieUni Europejskiej,koordynowanych na poziomie MinisterstwaRozwojuRegionalnego2012:Kwartalne sprawozdanie przedłoŜone Pełnomocnikowi
";12;4;0;0;0
"15.5";;"Ministerstwo Rolnictwa i
Rozwoju Wsi
";35;"Zapewnienie sprawnej i termnowej realizaji zadań związanych z przygotowaniem i prowadzeniem polskiego przewodnictwa w Radzie Unii Europejskiej w II połowie
2011 r. poprzez umoŜliwienie finansowania podejmowanych działań
";"Kwartalne sprawozdanie zaakceptowane przez
Komitet Stały Rady Ministrów
";4;;0;0;0
"15.5";;"Ministerstwo Skarbu Państwa
";36;;;;;0;0;0
"15.5";;"Ministerstwo Sprawiedliwości
";37;"-
";"-
";"-
";"-
";0;0;0
"15.5";;"Ministerstwo Nauki i Szkolnictwa
WyŜszego
";38;"Zapewnienie sprawnej i terminowej realizacji działań związanych z przygotowaniem i sprawowaniem polskiego Przewodnictwa w Radzie UE w II połowie 2011 r.
";"Kwartalne sprawozdanie zaakceptowane przez
Komitet Stały Rady Ministrów
";4;2;0;0;0
"15.5";;"Ministerstwo Infrastruktury
";39;"Zapewnienie sprawnej i terminowej realizacji działań związanych z przygotowaniem i sprawowaniem polskiego Przewodnictwa w Radzie UE w II połowie 2011 r.
";"Udział pracowników Korpusu Prezydencji do ogółu zatrudnionych
";"2,50%
";"0,60%
";347;347;0
"15.5";;"Ministerstwo Sportu i Turystyki
";40;"Zapewnienie jak najlepszej i spójnej realizacji interesów
Polski na forum międzynarodowym
";"Kwartalne sprawozdanie przedłoŜone
Pełnomocnikowi
";0;;0;0;0
"15.5";;"Ministerstwo Środowiska
";41;"Zapewnienie najlepszej i spójnej realziacji interesów
Polski na forum międzynarodowym
";"Liczba kwartalnych sprawozdań przedłoŜonych pełnomocnikowi
";4;0;0;0;0
"15.5";;"Ministerstwo Spraw
Wewnętrznych i Administracji
";42;"X
";"X
";"x
";"x
";"4 094
";"4 094
";0
"15.5";;"Ministerstwo Pracy i Polityki
Społecznej
";44;"-
";"-
";"-
";"-
";"1 484
";"1 484
";0
"15.5";;"Ministerstwo Spraw
Zagranicznych
";45;"Zapewnienie jak najlepszej i spójnej realizacji interesów
Polski na forum międzynarodowym
";"Stopień realizacji załoŜeń polskiej polityki zagranicznej - ocena opisowa
";"dobra
";"dobra
";"65 363
";"65 363
";0
"15.5";;"Ministerstwo Zdrowia
";46;;;;;0;0;0
"15.5";;"Urząd Ochrony Konkurencji i
Konsumentów
";53;"Przygotowanie spawnej i terminowej realizacji zadania związanego z przygotowaniem i prowadzeniem polskiego Przewodnictwa w Radzie UE w drugiej połowie 2011 r. poprzez umoŜliwienie finansowania podejmowanych działań
";"Kwartalne sprawozdanie przedłoŜone
Pełnomocnikowi
";4;4;0;0;0
"15.5";;"Agencja Bezpieczeństwa
Wewnętrznego
";57;"Zapewnienie jak najlepszej i spójnej realizacji interesów
Polski na forum międzynarodowym
";"Realizacja przez ABW zadań związanych ze współpracą europejską - miernik logiczny tak (1)/nie(0)
";1;0;0;0;0
