"numer";"funkcja_zadanie";"podzadanie";"dysponent";"czesc";"cel";"miernik_nazwa";"miernik_wartosc_bazowa";"miernik_wartosc_rok_obec";"ogolem";"budzet_panstwa";"budzet_srodkow_europejskich"
"13.5";;;;"85";;"Liczba jednostek, w których wskazano nieprawidłowości w stosunku do liczby jednostek skontrolowanych";"56,5%";0.6;;;
"13.5.1";;"13.5.1. Świadczenia rodzinne";"Ministerstwo Pracy i Polityki Społecznej";"63";"Dofinansowanie kosztów utrzymania dzieci wychowywanych w rodzinach uzyskujących niskie dochody";"Udział liczby dzieci korzystających z zasiłku rodzinnego w ogólnej liczbie dzieci w wieku do ukończenia 24 roku życia";"30,8%";"28,6%";379;379;0
"13.5.1";;;"Wojewodowie";"85";"Zapewnienie możliwości otrzymania świadczeń rodzinnych poprzez realizację działania, po to aby wesprzeć funkcję wychowawcza i opiekuńczą rodziny";"Liczba osób objętych wsparciem w postaci świadczeń rodzinnych";"-";"-";9272241;9272241;0
"13.5.2";;"13.5.2. Świadczenia z funduszu alimentacyjnego";"Ministerstwo Pracy i Polityki Społecznej";"63";"Zapewnianie pomocy materialnej rodzinom, w których egzekucja alimentów jest bezskuteczna";"Udział liczby dzieci korzystających ze świadczeń w zastępstwie alimentów w ogólnej liczbie dzieci w wieku do ukończenia 25 roku życia";"2,80%";"3,03%";229;229;0
"13.5.2";;;"Wojewodowie";"85";"Zapewnienie możliwości otrzymania świadczeń z funduszu alimentacyjnego poprzez realizację działania, po to aby wesprzeć osoby znajdujące się w trudnej sytuacji materialnej z powodu niemożności wyegzekwowania alimentów";"Liczba rodzin objętych wsparciem w postaci świadczeń z funduszu alimentacyjnego";"-";"-";1761;1761;0
"13.5.3";;"13.5.3. Żłobki i inne formy opieki nad dzieckiem w wieku do 3 lat";"Ministerstwo Pracy i Polityki Społecznej";"63";"Budowanie systemu wspierania łączenia rodzicielstwa i pracy zawodowej";"Odsetek dzieci w wieku do lat 3, objętych opieką instytucjonalną";"2,60";"3,01";231;231;0
"13.5.4";;"13.5.4. Profilaktyka na rzecz dziecka i rodziny";"Ministerstwo Pracy i Polityki Społecznej";"63";"Zapewnienie rodzinie w kryzysie różnorodnych form wsparcia w funkcjach opiekuńczo-wychowawczych";"Liczba rodzin objętych specjalistycznym poradnictwem rodzinnym - terapią rodzinną i poradnictwem dla rodzin naturalnych";"55 tys.";"57 tys.";225;225;0
"13.5.4";;;"Wojewodowie";"85";"Pomoc rodzinom poprzez realizację działania tak, aby zwiększyć skuteczność zapobiegania dysfunkcji w rodzinach";"Liczba osób objętych pomocą SOW, OIK w ramach programów do liczby mieszkańców województwa";"-";"-";968;968;0
"13.5.5";;"13.5.5. Piecza zastępcza nad dzieckiem";"Ministerstwo Pracy i Polityki Społecznej";"63";"Stworzenie zastępczego środowiska rodzinnego dla dziecka pozbawionego opieki biologicznych rodziców";"Udział liczby dzieci umieszczonych w rodzinnych formach pieczy zastępczej (w rodzinach zastępczych i rodzinnych domach dziecka) w ogólnej liczbie dzieci umieszczonych w pieczy zastępczej (w rodzinach zastępczych i placówkach opiekuńczo - wychowawczych)";"70%";"71%";8559;8559;0
"13.5.5";;;"Wojewodowie";"85";"Zapewnienie opieki dzieciom całkowicie lub częściowo pozbawionym opieki rodzicielskiej";"Liczba dzieci objętych pieczą zastępczą w stosunku do liczby dzieci w województwie";"-";"-";3524;3524;0
"13.5.6";;"13.5.6. Adopcja dziecka";"Ministerstwo Pracy i Polityki Społecznej";"63";"Usprawnienie procedur adopcji dzieci ";"Liczba przeprowadzonych adopcji zagranicznych";"354";"360";150;150;0
"13.6";"13.6. Przeciwdziałanie dyskryminacji";;"Ministerstwo Pracy i Polityki Społecznej";"63";"Ograniczanie zjawisk dyskryminacji";"Stosunek wskaźnika zatrudnienia kobiet do wskaźnika zatrudnienia mężczyzn (w wieku od 15 do 64 lat)";"79,9%";"80,4%";850;850;0
"13.6.2";;"13.6.2. Wyrównywanie statusu kobiet i mężczyzn w życiu społeczno-gospodarczym";"Ministerstwo Pracy i Polityki Społecznej";"63";"Wyrównywanie szans kobiet i mężczyzn na rynku pracy";"Stosunek wskaźnika zatrudnienia kobiet do wskaźnika zatrudnienia mężczyzn (w wieku od 15 do 64 lat)";"79,9%";"80,4%";850;850;0
"13.7";"13.7. Informatyzacja działalności i budowa społeczeństwa informacyjnego";;"Ministerstwo Pracy i Polityki Społecznej";"44";"Zwiększanie odsetka jednostek używających homologowanego oprogramowania";"Stosunek liczby jednostek pracujących z użyciem homologowanego oprogramowania do liczby wszystkich jednostek";"0,66";"0,75";16348;12352;3996
"13.7";;;"Kasa Rolniczego Ubezpieczenia Społecznego";"72";"Dostosowanie KRUS do świadczenia usług dla obywateli i podmiotów instytucjonalnych drogą elektroniczną";"Procent realizacji projektu";"0,2";"34,14";0;0;0
"13.7";;;"Wojewodowie";"85";"Zapewnienie funkcjonalności baz systemowych";"Czas od daty wpływu do terminu wprowadzenia";"3 tyg.";"3 tyg.";244;244;0
"13.7.1";;"13.7.1. Utrzymanie systemów informatycznych";"Ministerstwo Pracy i Polityki Społecznej";"44";"Zwiększanie odsetka jednostek, w których zapewniono integrację wewnątrz obszaru zabezpieczenia społecznego";"Stosunek liczby jednostek zintegrowanych wewnątrz obszaru zabezpieczenia społecznego oraz z systemami zewnętrznymi do liczby wszystkich jednostek";"-";"0,3";16348;12352;3996
"13.7.1";;;"Wojewodowie";"85";"-";"-";"-";"-";244;244;0
"13.7.2";;"13.7.2. Budowa i wdrożenie rozwiązań informatycznych";"Kasa Rolniczego Ubezpieczenia Społecznego";"72";"Dostosowanie KRUS do świadczenia usług dla obywateli i podmiotów instytucjonalnych drogą elektroniczną";"Procent realizacji projektu";"0,2";"34,14";0;0;0
"14";"FUNKCJA 14. RYNEK PRACY";;;;;;;;1408910;1032067;376843
"14.1";"14.1. Wspieranie zatrudnienia i przeciwdziałanie bezrobociu";;"Ministerstwo Obrony Narodowej";"29";"Rozwój aktywizacji zawodowej";"Liczba osób, które skorzystały z pomocy aktywizacyjnej do liczby osób ubiegających się o pomoc";"90%";"90%";14631;14631;0
"14.1";;;"Ministerstwo Pracy i Polityki Społecznej";"31";"Rozwój aktywizacji zawodowej";"Stopa bezrobocia rejestrowanego";"11,9%";"11,0%";396468;51425;345043
"14.1";;;"Wojewodowie";"85";"Zapewnienie prawidłowości działania publicznych służb zatrudnienia";"Procent terminowo wydanych zezwoleń na pracę w stosunku do ogólnej liczby wydanych zezwoleń";"99,9%";"100%";4643;4643;0
"14.1.1";;"14.1.1. Wspieranie programów aktywizacji";"Ministerstwo Obrony Narodowej";"29";"Aktywizacja zawodowa osób uprawnionych";"Liczba osób, które skorzystały z pomocy aktywizacyjnej do liczby osób ubiegających się o pomoc ";"90%";"90%";14631;14631;0
"14.1.1";;;"Ministerstwo Pracy i Polityki Społecznej";"31";"Wzrost liczby zatrudnionych po zakończeniu aktywnych programów rynku pracy";"Wskaźnik zatrudnienia po zakończeniu uczestnictwa w programach aktywnych";"52,8%";"53,2%";347438;2395;345043
"14.1.1";;;"Wojewodowie";"85";"-";"-";"-";"-";860;860;0
"14.1.2";;"14.1.2. Wspieranie i modernizacja urzędów pracy";"Ministerstwo Pracy i Polityki Społecznej";"31";"Wzmocnienie potencjału urzędów pracy";"Liczba osób bezrobotnych, które rozpoczęły udział w aktywnych programach rynku pracy w stosunku do ogólnej liczby osób wyłączonych z ewidencji w danym roku";"26,2%";"28,0%";3346;3346;0
"14.1.2";;;"Wojewodowie";"85";"Zapewnienie zgodności funkcjonowania urzędów z ustalonymi standardami usług na rynku pracy";"Liczba urzędów, którym zostało udzielone wsparcie do liczby wszystkich urzędów ";"-";"-";1581;1581;0
"14.1.3";;"14.1.3. Wspieranie i modernizacja instytucji rynku pracy z wyłączeniem publicznych służb zatrudnienia";"Ministerstwo Pracy i Polityki Społecznej";"31";"Wzmacnianie potencjału instytucji rynku pracy";"Liczba osób korzystających z usług agencji zatrudnienia";"627 tys.";"640 tys.";154;154;0
"14.1.4";;"14.1.4. Kształtowanie zasad zatrudniania cudzoziemców";"Ministerstwo Pracy i Polityki Społecznej";"31";"Opracowywanie rozwiązań prawno-organizacyjnych, umożliwiających zarządzanie migracjami w sposób odpowiadający potrzebom nowoczesnej gospodarki";"Liczba przyjętych dokumentów rządowych i rozporządzeń wykonawczych";"2";"2";999;999;0
"14.1.4";;;"Wojewodowie";"85";"Zapewnienie sprawnego przebiegu procesu legalizacji zatrudniania cudzoziemców w Polsce";"Liczba terminowo wydanych decyzji w sprawie wydania zezwolenia na pracę cudzoziemców w stosunku do wszystkich wydanych decyzji";"-";"-";2202;2202;0
"14.1.5";;"14.1.5. Zatrudnienie oraz przeciwdziałanie marginalizacji i wykluczeniu społecznemu młodzieży ";"Ministerstwo Pracy i Polityki Społecznej";"31";"Zwiększenie dostępu młodzieży do poradnictwa, informacji zawodowej oraz usług z zakresu pośrednictwa pracy";"Liczba beneficjentów korzystających z usług w zakresie rynku pracy, oferowanych przez Ochotnicze Hufce Pracy ";"827,9 tys.";"779,0 tys.";44531;44531;0
"14.2";"14.2. Budowa nowoczesnych stosunków pracy";;"Państwowa Inspekcja Pracy";"12";"Dostosowywanie regulacji i instytucji rynku pracy do wyzwań nowoczesnej gospodarki";"Odsetek kontroli zakończonych wydaniem nakazu";"60";"60";179873;179873;0
"14.2";;;;"12";;"Liczba realizowanych projektów dotyczących prewencji i ochrony pracy";"8";"10";;;
"14.2";;;"Ministerstwo Pracy i Polityki Społecznej";"31";"Dostosowywanie regulacji i instytucji rynku pracy do wyzwań nowoczesnej gospodarki";"Liczba opracowywanych aktów prawnych i dokumentów rządowych";"23";"25";23299;23299;0
"14.2";;;;"31";;"Liczba wystąpień o interpretację przepisów";"2670";"2700";;;
"14.2";;;"Wojewodowie";"85";"Zapewnienie prawidłowości działania publicznych służb zatrudnienia, w tym zgodności z ustalonymi standardami usług rynku pracy";"Ilość przeprowadzonych kontroli w stosunku do liczby jednostek";"81,6%";"69,5%";6089;6089;0
"14.2.1";;"14.2.1. Elastyczność i bezpieczeństwo w zatrudnieniu";"Ministerstwo Pracy i Polityki Społecznej";"31";"Wsparcie nowoczesnych form rynku pracy i ochrona roszczeń pracowniczych";"Liczba osób, którym wypłacono świadczenia";"47 442";"56 456";3388;3388;0
"14.2.2";;"14.2.2. Nadzór i kontrola";"Państwowa Inspekcja Pracy";"12";"Poprawa przestrzegania prawa pracy w kontrolowanych podmiotach";"Odsetek decyzji zrealizowanych przez podmioty kontrolowane (spośród decyzji objętych sprawdzeniem w ramach czynności kontrolnych inspektorów pracy";"94%";"94%";167595;167595;0
"14.2.2";;;"Wojewodowie";"85";"Zapewnienie zgodności funkcjonowania urzędów z ustalonymi standardami usług na rynku pracy";"Liczba odwołań od decyzji wydanych przez urzędy pracy rozpatrzonych negatywnie w stosunku do wszystkich złożonych odwołań";"-";"-";6089;6089;0
"14.2.3";;"14.2.3. Bezpieczeństwo i higiena pracy";"Ministerstwo Pracy i Polityki Społecznej";"31";"Doskonalenie regulacji w zakresie bezpieczeństwa i higieny pracy";"Stopień wdrożenia wyników programu wieloletniego pt. Poprawa bezpieczeństwa i warunków pracy";"100";"Program realizowany do 2010 r. kolejny etap jest planowany na lata 2011-2013";19911;19911;0
"14.2.4";;"14.2.4. Prewencja i promocja ochrony pracy";"Państwowa Inspekcja Pracy";"12";"Upowszechnianie wiedzy na tematy związane z ochroną pracy";"Udział szkoleń, seminariów i warsztatów przeznaczonych dla uczestników projektów dotyczących prewencji i ochrony pracy w branżach o szczególnie wysokim poziomie ryzyka (przemysł, budownictwo i rolnictwo indywidualne)";"33%";"35%";12278;12278;0
"14.3";"14.3. Aktywizacja zawodowa osób niepełnosprawnych";;"Ministerstwo Pracy i Polityki Społecznej";"44";"Zwiększanie aktywności zawodowej osób niepełnosprawnych";"Liczba osób niepełnosprawnych objętych działaniami z zakresu rehabilitacji zawodowej, które korzystają z różnych form wsparcia, w przeliczeniu na pełny etat";"310,8 tys.";"321,7 tys.";772951;741151;31800
"14.3";;;;"44";;"Współczynnik aktywności zawodowej osób niepełnosprawnych w wieku produkcyjnym ";"24,6%";"25,1%";;;
"14.3";;;"Wojewodowie";"85";"Zwiększenie zainteresowania osób niepełnosprawnych zatrudnieniem";"Liczba osób niepełnosprawnych zatrudnionych z zakładach pracy chronionej";205329;206000;2313;2313;0
"14.3.1";;"14.3.1. Analiza sytuacji osób niepełnosprawnych na rynku pracy";"Ministerstwo Pracy i Polityki Społecznej";"44";"Rozpoznawanie sytuacji osób niepełnosprawnych na rynku pracy";"Stopa bezrobocia osób niepełnosprawnych w wieku produkcyjnym";"12,8%";"12,0%";226;226;0
"14.3.1";;;"Wojewodowie";"85";"Zapewnienie spełniania przez pracodawców warunków koniecznych do uzyskania i utrzymania statusu zakładu pracy chronionej ";"Liczba kontroli w stosunku do liczby zakładów pracy chronionej";"-";"-";1590;1590;0
"14.3.2";;"14.3.2. Wspomaganie aktywizacji zawodowej osób niepełnosprawnych";"Ministerstwo Pracy i Polityki Społecznej";"44";"Zwiększenie zatrudnienia i zapewnienie stabilności pracy dla osób niepełnosprawnych";"Wskaźnik zatrudnienia osób niepełnosprawnych w wieku produkcyjnym";"21,4%";"22,2%";772725;740925;31800
"14.3.3";;"14.3.3. Nadzór nad zakładami pracy chronionej i zakładami aktywności zawodowej";"Wojewodowie";"85";"Zapewnienie prawidłowego funkcjonowania zakładów pracy chronionej i zakładów aktywności zawodowej";"Liczba decyzji o uchyleniu statusu zakładu pracy chronionej, w tym na wniosek wojewody";"-";"-";723;723;0
"14.4";"14.4. Informatyzacja działalności i budowa społeczeństwa informacyjnego";;"Państwowa Inspekcja Pracy";"12";"Zapewnienie sprawnego działania Urzędu";"Odsetek dokumentacji z działalności kontrolno-nadzorczej PIP przetwarzanych i przechowywanych w wersji elektronicznej przy wykorzystaniu narzędzia bazodanowego Navigator";"0";"100%";6955;6955;0
"14.4";;;;"12";;"Liczba wzorów dokumentów stosowanych w działalności kontrolno-nadzorczej PIP dostępnych w postaci oprogramowanych szablonów z poziomu aplikacji Navigator (gruby klient)";"6";"12";;;
"14.4";;;;"12";;"Wskaźnik bezawaryjności działania systemów informatycznych PIP";"-";"98%";;;
"14.4";;;;"12";;"Efektywny kontakt z PIP";"-";"2 500 000";;;
"14.4";;;"Ministerstwo Pracy i Polityki Społecznej";"31";"Rozwój systemu teleinformatycznego dla publicznych służb zatrudnienia";"Liczba jednostek publicznych służb zatrudnienia, w których wdrożono nowoczesny system teleinformatyczny";"16";"379";1074;1074;0
"14.4";;;;"31";;"Liczba jednostek publicznych służb zatrudnienia eksploatujących systemy teleinformatyczne wykonane w starszej technologii klient - serwer (gruby klient)";"320";"5";;;
"14.4";;;"Wojewodowie";"85";"Rozwój systemu teleinformatycznego dla publicznych służb zatrudnienia";" - ";" - ";" - ";614;614;0
"14.4.1";;"14.4.1. Utrzymanie systemów informatycznych";"Państwowa Inspekcja Pracy";"12";"Zapewnienie ciągłości działania systemów informatycznych";"Wskaźnik bezawaryjności działania systemów informatycznych PIP";"-";"98%";5455;5455;0
"14.4.1";;;"Ministerstwo Pracy i Polityki Społecznej";"31";"Zapewnianie sprawnego funkcjonowania baz danych";"Liczba jednostek publicznych służb zatrudnienia przekazujących elektronicznie zagregowane dane do centralnej bazy danych";"120";"368";1074;1074;0
"14.4.1";;;"Wojewodowie";"85";"-";"-";"-";"-";614;614;0
"14.4.2";;"14.4.2. Budowa i wdrożenie rozwiązań informatycznych";"Państwowa Inspekcja Pracy";"12";"Dostosowanie Urzędu do świadczenia usług publicznych drogą elektroniczną dla obywateli i przedsiębiorców";"Efektywny kontakt z PIP";"-";"2.500.000";1500;1500;0
"15";"FUNKCJA 15. POLITYKA ZAGRANICZNA";;;;;;;;1830501;1827271;3230
"15.1";"15.1. Zapewnianie Polsce sprzyjających warunków rozwoju";;"Ministerstwo Infrastruktury";"18";"Zapewnianie Polsce sprzyjających warunków rozwoju i odpowiedniej pozycji na arenie międzynarodowej";"Udział w pracach najważniejszych organizacji międzynarodowych w dziedzinie budownictwa (w szt.)";"3";"3";1600;1600;0
"15.1";;;"Ministerstwo Finansów";"19";"Zapewnianie Polsce sprzyjających warunków rozwoju i odpowiedniej pozycji na arenie międzynarodowej";"-";"-";"-";1175;1175;0
"15.1";;;"Ministerstwo Infrastruktury";"21";"Zapewnianie Polsce sprzyjających warunków rozwoju i odpowiedniej pozycji na arenie międzynarodowej";"Udział w pracach najważniejszych organizacji międzynarodowych w dziedzinie gospodarki morskiej (w szt.)";"5";"5";550;550;0
"15.1";;;"Ministerstwo Środowiska";"22";"Zapewnianie Polsce sprzyjających warunków rozwoju i odpowiedniej pozycji na arenie międzynarodowej";"Poziom wywiązywania się ze zobowiązań międzynarodowych (%)";"100";"100";24325;24325;0
"15.1";;;"Ministerstwo Infrastruktury";"26";"Zapewnianie Polsce sprzyjających warunków rozwoju i odpowiedniej pozycji na arenie międzynarodowej";"Udział w pracach najważniejszych organizacji międzynarodowych w dziedzinie łączności w szt.";"5";"5";1890;1890;0
"15.1";;;"Ministerstwo Infrastruktury";"39";"Zapewnianie Polsce sprzyjających warunków rozwoju i odpowiedniej pozycji na arenie międzynarodowej";"Udział w pracach najważniejszych organizacji  międzynarodowych  w dziedzinie transportu w szt.";"6";"6";2398;2398;0
"15.1";;;"Ministerstwo Środowiska";"41";"Zapewnianie Polsce sprzyjających warunków rozwoju i odpowiedniej pozycji na arenie międzynarodowej";"Poziom wywiązywania się z zobowiązań międzynarodowych";"100";"100";6206;6206;0
"15.1";;;"Ministerstwo Spraw Zagranicznych";"45";"Zapewnianie Polsce sprzyjających warunków rozwoju i odpowiedniej pozycji na arenie międzynarodowej";"Liczba wizyt na wysokim szczeblu w Polsce (prezydent, premier, minister SZ)";"145";"150";826016;826016;0
"15.1";;;;"45";;"Liczba Polaków zatrudnionych na wysokich stanowiskach w UE, NATO, ONZ (dyrektor i wyżej)";"32";"40";;;
"15.1";;;"Ministerstwo Zdrowia";"46";"Zapewnianie Polsce sprzyjających warunków rozwoju i odpowiedniej pozycji na arenie międzynarodowej";"Kwota opłaconych składek do organizacji międzynarodowych w stosunku do kwoty składek wymaganych w danym roku kalendarzowym";"0,85";"1,00";13274;13274;0
"15.1.1";;"15.1.1. Rozwijanie stosunków dwustronnych i wielostronnych ";"Ministerstwo Finansów";"19";"Zapewnienie korzystnych warunków współpracy z innymi państwami";"Liczba zablokowanych przez Polskę kompromisów na arenie międzynarodowej ";"1%";"1%";820;820;0
"15.1.1";;;"Ministerstwo Środowiska";"22";"Zapewnienie współpracy w dziedzinie gospodarki wodnej na wodach granicznych";"Wartość logiczna TAK/NIE";"TAK";"TAK";462;462;0
"15.1.1";;;"Ministerstwo Spraw Zagranicznych";"45";"Zapewnienie korzystnych warunków współpracy z innymi państwami";"Liczba wizyt na wysokim szczeblu (prezydent, premier, minister SZ)";"145";"150";451844;451844;0
"15.1.2";;"15.1.2. Udział Polski we współpracy na forum organizacji międzynarodowych ";"Ministerstwo Infrastruktury";"18";"Zapewnienie Polsce odpowiedniej pozycji w pracach organizacji międzynarodowych";"Udział w pracach najważniejszych organizacji międzynarodowych w dziedzinie budownictwa (w szt.)";"3";"3";1600;1600;0
"15.1.2";;;"Ministerstwo Finansów";"19";"Zapewnienie Polsce odpowiedniej pozycji w pracach organizacji międzynarodowych";"Wpłata składki w kwocie i terminie określonym w nocie płatniczej wystawionej przez Radę Europy";"40404,42 EUR";"zakładana kwota do planu stanowi wysokość zobowiązania za poprzedni rok powiększonego o 10%";355;355;0
"15.1.2";;;"Ministerstwo Infrastruktury";"21";"Zapewnienie Polsce odpowiedniej pozycji w pracach organizacji międzynarodowych";"Udział w pracach najważniejszych organizacji międzynarodowych w dziedzinie gospodarki morskiej (w szt.)";"5";"5";550;550;0
"15.1.2";;;"Ministerstwo Środowiska";"22";"Zapewnienie Polsce odpowiedniej pozycji w pracach organizacji międzynarodowych";"Poziom wywiązywania się ze zobowiązań międzynarodowych (%)";"100";"100";23863;23863;0
"15.1.2";;;"Ministerstwo Infrastruktury";"26";"Zapewnienie Polsce odpowiedniej pozycji w pracach organizacji międzynarodowych";"Udział w pracach najważniejszych organizacji międzynarodowych w dziedzinie łączności w szt.";"5";"5";1890;1890;0
"15.1.2";;;"Ministerstwo Infrastruktury";"39";"Zapewnienie Polsce odpowiedniej pozycji w pracach organizacji międzynarodowych";"Udział w pracach najważniejszych organizacji międzynarodowych w dziedzinie transportu w szt.";"6";"6";2398;2398;0
"15.1.2";;;"Ministerstwo Środowiska";"41";"Realizacja zobowiązań wynikających z ratyfikowanych lub podpisanych przez Polskę umów międzynarodowych w zakresie ochrony środowiska oraz członkostwa w organizacjach międzynarodowych i ich agendach";"Liczba finansowanych konwencji (szt.)";"12";"15";6206;6206;0
"15.1.2";;;"Ministerstwo Spraw Zagranicznych";"45";"Zapewnienie Polsce odpowiedniej pozycji w pracach organizacji międzynarodowych";"Liczba Polaków zatrudnionych na wysokich stanowiskach w ONZ, OECD, Radzie Europu, OBWE";"3";"7";372396;372396;0
"15.1.2";;;"Ministerstwo Zdrowia";"46";"Zapewnienie Polsce odpowiedniej pozycji w pracach organizacji międzynarodowych";"Kwota opłaconych składek do organizacji międzynarodowych w stosunku do kwoty składek wymaganych w danym roku kalendarzowym";"0,85";"1,00";13274;13274;0
"15.1.3";;"15.1.3. Wykorzystanie środków pomocowych";"Ministerstwo Spraw Zagranicznych";"45";"Sprawne i efektywne wykorzystanie środków pomocowych";"Stopień wykorzystania środków pomocowych";"76%";"-";1776;1776;0
"15.2";"15.2. Zapewnianie bezpieczeństwa państwa";;"Ministerstwo Spraw Zagranicznych";"45";"Zapewnianie wysokiego poziomu bezpieczeństwa zewnętrznego państwa";"Ocena zagrożeń dla bezpieczeństwa państwa";"dobra";"dobra";33983;33983;0
"15.2";;;;"45";"Zapewnienie Polsce odpowiedniej pozycji w NATO i UE";"Liczba Polaków zatrudnionych na wysokich stanowiskach w NATO i ESDZ";"7";"17";;;
"15.2.1";;"15.2.1. Umacnianie bezpieczeństwa politycznego i wojskowego";"Ministerstwo Spraw Zagranicznych";"45";"Zapewnienie bezpieczeństwa politycznego i wojskowego";"Ocena zagrożeń politycznych i wojskowych dla bezpieczeństwa państwa";"dobra";"dobra";15438;15438;0
"15.2.2";;"15.2.2. Umacnianie międzynarodowego bezpieczeństwa i pokoju ";"Ministerstwo Spraw Zagranicznych";"45";"Zapewnianie bezpiecznego i stabilnego otoczenia międzynarodowego";"Ocena otoczenia międzynarodowego Polski - ocena opisowa";"dostateczna plus";"dostateczna plus";5700;5700;0
"15.2.3";;"15.2.3. Umacnianie bezpieczeństwa ekonomicznego i ekologicznego";"Ministerstwo Spraw Zagranicznych";"45";"Zapewnienie bezpieczeństwa ekonomicznego i ekologicznego";"Ocena zagrożeń ekonomicznych i ekologicznych dla bezpieczeństwa państwa - ocena opisowa";"dobra";"dobra";3802;3802;0
"15.2.4";;"15.2.4. Pozostałe wymiary bezpieczeństwa";"Ministerstwo Spraw Zagranicznych";"45";"Zapewnienie bezpieczeństwa w pozostałych obszarach";"Ocena zagrożeń dla bezpieczeństwa kraju w pozostałych obszarach - ocena opisowa";"dobra";"dobra";9043;9043;0
"15.3";"15.3. Reprezentowanie i ochrona międzynarodowych interesów RP i jej obywateli za granicą";;"Ministerstwo Finansów";"19";"Realizacja istotnych międzynarodowych interesów RP i jej obywateli za granicą";"-";"-";"-";536;536;0
"15.3";;;"Ministerstwo Spraw Zagranicznych";"45";"Realizacja istotnych międzynarodowych interesów RP i jej obywateli za granicą";"Liczba czynności konsularnych dotyczących obywateli polskich";"392128";"450000";264031;264031;0
"15.3";;;;"45";;"Liczba spraw przeciwko Polsce przed międzynarodowymi organami praw człowieka, organami sądowymi Unii Europejskiej i Trybunałem EFTA";"566";"645";;;
"15.3.1";;"15.3.1. Wspieranie interesów polskich obywateli i polskich osób prawnych";"Ministerstwo Spraw Zagranicznych";"45";"Zapewnienie przestrzegania praw polskich obywateli i polskich osób prawych poza granicami kraju";"Liczba zgłoszonych przypadków nie przestrzegania praw polskich obywateli i polskich osób prawnych za granicą";"110696";"115000";147598;147598;0
"15.3.2";;"15.3.2. Zapewnianie opieki i obsługi konsularnej";"Ministerstwo Spraw Zagranicznych";"45";"Zapewnianie sprawnej opieki i obsługi konsularnej";"Liczba rejestrowanych czynności konsularnych";"1236793";"1502000";109028;109028;0
"15.3.3";;"15.3.3. Reprezentowanie i ochrona interesów RP przed międzynarodowymi organami sądowymi";"Ministerstwo Finansów";"19";"Efektywna koordynacja i wspieranie działań administracji rządowej w zakresie postępowań nieformalnych i formalnych wszczynanych przeciwko Polsce oraz postępowań przed sądami i trybunałami międzynarodowymi";"Liczba postępowań zakończonych sankcjami finansowymi";"-";"-";261;261;0
"15.3.3";;;"Ministerstwo Spraw Zagranicznych";"45";"Efektywna koordynacja i wspieranie działań administracji rządowej w zakresie postępowań nieformalnych i formalnych wszczynanych przeciwko Polsce oraz postępowań przed sądami i trybunałami międzynarodowymi";"Liczba spraw przeciwko Polsce przed sądami i trybunałami międzynarodowymi";"561";"640";1416;1416;0
"15.3.4";;"15.3.4. Zapewnianie obsługi prawnej działań wynikających z członkowstwa Polski w UE";"Ministerstwo Finansów";"19";"Wspieranie i monitorowanie działań administracji rządowej dotyczących stosowania i transpozycji przepisów wspólnotowych do prawa polskiego oraz postępowań nieformalnych i formalnych wszczynanych przeciwko Polsce";"Procentowy udział przepisów prawa wspólnotowego, które nie uległy transpozycji do prawa polskiego";"2%";"2%";275;275;0
"15.3.4";;;"Ministerstwo Spraw Zagranicznych";"45";"Wspieranie i monitorowanie działań administracji rządowej dotyczących stosowania i transpozycji przepisów wspólnotowych do prawa polskiego oraz postępowań nieformalnych i formalnych wszczynanych przeciwko Polsce";"Liczba spraw wszczętych przeciwko Polsce";"100";"110";5989;5989;0
"15.4";"15.4. Kształtowanie międzynarodowego wizerunku RP";;"Ministerstwo Nauki i Szkolnictwa Wyższego";"38";"Promocja właściwego wizerunku RP na forum międzynarodowym";"Liczba cudzoziemców kształcących się w Polsce";"17978";"19000";32224;32224;0
"15.4";;;;"38";;"Liczba studentów przyjeżdżających do Polski w ramach programu ERASMUS";"3730";"5500";;;
"15.4";;;"Ministerstwo Spraw Zagranicznych";"45";"Promocja właściwego wizerunku RP na forum międzynarodowym";"Stopień realizacji przedsięwzięć promocyjnych (w %)";"97%";"100%";149305;149305;0
"15.4";;;;"45";;"Stopień wykorzystania środków na pomoc rozwojową w dyspozycji MSZ zgodnie z oficjalnym programem polskiej pomocy";"85%";"91%";;;
"15.4";;;;"45";;"Liczba deklaracji UE w sprawie poszanowania demokracji i obrony praw człowieka, których Polska była stroną";"260";"280";;;
"15.4";;;;"45";;"Liczba czynności konsularnych dotyczących cudzoziemców";"869195";"1052000";;;
"15.4.1";;"15.4.1. Prowadzenie promocji kraju";"Ministerstwo Nauki i Szkolnictwa Wyższego";"38";"Umocnienie pozytywnego wizerunku Polski za granicą";"Liczba osób przystępujących do egzaminu ze znajomości języka polskiego jako obcego";"400";"540";32224;32224;0
"15.4.1";;;"Ministerstwo Spraw Zagranicznych";"45";"Umocnienie pozytywnego wizerunku Polski za granicą";"Stopień realizacji przedsięwzięć promocyjnych (w %)";"94%";"100%";97849;97849;0
"15.4.2";;"15.4.2. Udział we współpracy rozwojowej i międzynarodowej pomocy humanitarnej ";"Ministerstwo Spraw Zagranicznych";"45";"Promocja wizerunku Polski jako kraju angażującego się w udzielanie pomocy rozwojowej i humanitarnej";"Stopień wykorzystania środków na pomoc rozwojową w dyspozycji MSZ zgodnie z oficjalnym programem polskiej pomocy";"85%";"91%";5377;5377;0
